Orthogroup	Mcap.protein	Pocillopora_acuta_protein
OG0015240	adi2mcaRNA10691_R4	
OG0015241	adi2mcaRNA10691_R7	
OG0015242	adi2mcaRNA10691_R9	
OG0015243	adi2mcaRNA10692_R8	
OG0015244	adi2mcaRNA10697_R3	
OG0015245	adi2mcaRNA106_R0	
OG0015246	adi2mcaRNA10706_R4	
OG0015247	adi2mcaRNA10725_R0	
OG0015248	adi2mcaRNA10726_R1	
OG0015249	adi2mcaRNA10726_R3	
OG0015250	adi2mcaRNA10769_R2	
OG0015251	adi2mcaRNA10772_R4	
OG0015252	adi2mcaRNA10772_R6	
OG0015253	adi2mcaRNA10784_R2	
OG0015254	adi2mcaRNA10799_R1	
OG0015255	adi2mcaRNA1079_R2	
OG0015256	adi2mcaRNA10800_R1	
OG0015257	adi2mcaRNA10805_R0	
OG0015258	adi2mcaRNA10816_R1	
OG0015259	adi2mcaRNA10817_R0	
OG0015260	adi2mcaRNA10817_R1	
OG0015261	adi2mcaRNA10817_R2	
OG0015262	adi2mcaRNA10829_R2	
OG0015263	adi2mcaRNA10838_R8	
OG0015264	adi2mcaRNA10863_R1	
OG0015265	adi2mcaRNA10878_R2	
OG0015266	adi2mcaRNA10905_R4	
OG0015267	adi2mcaRNA10905_R7	
OG0015268	adi2mcaRNA10905_R8	
OG0015269	adi2mcaRNA10906_R2	
OG0015270	adi2mcaRNA10907_R0	
OG0015271	adi2mcaRNA10907_R1	
OG0015272	adi2mcaRNA10907_R3	
OG0015273	adi2mcaRNA10910_R9	
OG0015274	adi2mcaRNA10914_R0	
OG0015275	adi2mcaRNA10916_R7	
OG0015276	adi2mcaRNA10923_R0	
OG0015277	adi2mcaRNA10928_R0	
OG0015278	adi2mcaRNA10928_R8	
OG0015279	adi2mcaRNA10928_R9	
OG0015280	adi2mcaRNA10932_R0	
OG0015281	adi2mcaRNA10932_R1	
OG0015282	adi2mcaRNA10935_R1	
OG0015283	adi2mcaRNA10935_R6	
OG0015284	adi2mcaRNA10935_R8	
OG0015285	adi2mcaRNA10935_R9	
OG0015286	adi2mcaRNA10959_R7	
OG0015287	adi2mcaRNA10967_R3	
OG0015288	adi2mcaRNA10967_R8	
OG0015289	adi2mcaRNA10972_R4	
OG0015290	adi2mcaRNA10972_R9	
OG0015291	adi2mcaRNA10974_R4	
OG0015292	adi2mcaRNA10975_R9	
OG0015293	adi2mcaRNA10989_R2	
OG0015294	adi2mcaRNA10989_R3	
OG0015295	adi2mcaRNA10989_R5	
OG0015296	adi2mcaRNA10989_R8	
OG0015297	adi2mcaRNA10992_R2	
OG0015298	adi2mcaRNA10_R0	
OG0015299	adi2mcaRNA11023_R1	
OG0015300	adi2mcaRNA11023_R2	
OG0015301	adi2mcaRNA11036_R1	
OG0015302	adi2mcaRNA11036_R3	
OG0015303	adi2mcaRNA11044_R1	
OG0015304	adi2mcaRNA11052_R0	
OG0015305	adi2mcaRNA11065_R1	
OG0015306	adi2mcaRNA11077_R1	
OG0015307	adi2mcaRNA11091_R0	
OG0015308	adi2mcaRNA11100_R4	
OG0015309	adi2mcaRNA11102_R4	
OG0015310	adi2mcaRNA11102_R5	
OG0015311	adi2mcaRNA11109_R4	
OG0015312	adi2mcaRNA11116_R0	
OG0015313	adi2mcaRNA11116_R1	
OG0015314	adi2mcaRNA11116_R2	
OG0015315	adi2mcaRNA11116_R3	
OG0015316	adi2mcaRNA11116_R4	
OG0015317	adi2mcaRNA11116_R5	
OG0015318	adi2mcaRNA11116_R8	
OG0015319	adi2mcaRNA11128_R4	
OG0015320	adi2mcaRNA11128_R8	
OG0015321	adi2mcaRNA11162_R1	
OG0015322	adi2mcaRNA11188_R9	
OG0015323	adi2mcaRNA11213_R0	
OG0015324	adi2mcaRNA11228_R5	
OG0015325	adi2mcaRNA11228_R6	
OG0015326	adi2mcaRNA11228_R7	
OG0015327	adi2mcaRNA11238_R1	
OG0015328	adi2mcaRNA11252_R3	
OG0015329	adi2mcaRNA11252_R4	
OG0015330	adi2mcaRNA1127_R2	
OG0015331	adi2mcaRNA1127_R3	
OG0015332	adi2mcaRNA11287_R1	
OG0015333	adi2mcaRNA11304_R0	
OG0015334	adi2mcaRNA11304_R1	
OG0015335	adi2mcaRNA11304_R2	
OG0015336	adi2mcaRNA11304_R4	
OG0015337	adi2mcaRNA11304_R6	
OG0015338	adi2mcaRNA11304_R9	
OG0015339	adi2mcaRNA11308_R4	
OG0015340	adi2mcaRNA11308_R5	
OG0015341	adi2mcaRNA11308_R6	
OG0015342	adi2mcaRNA11311_R3	
OG0015343	adi2mcaRNA11313_R8	
OG0015344	adi2mcaRNA11316_R0	
OG0015345	adi2mcaRNA11330_R3	
OG0015346	adi2mcaRNA11361_R0	
OG0015347	adi2mcaRNA11361_R1	
OG0015348	adi2mcaRNA11370_R5	
OG0015349	adi2mcaRNA11372_R7	
OG0015350	adi2mcaRNA11392_R0	
OG0015351	adi2mcaRNA11393_R1	
OG0015352	adi2mcaRNA11411_R3	
OG0015353	adi2mcaRNA11414_R1	
OG0015354	adi2mcaRNA11417_R3	
OG0015355	adi2mcaRNA11417_R4	
OG0015356	adi2mcaRNA11417_R6	
OG0015357	adi2mcaRNA11417_R7	
OG0015358	adi2mcaRNA11417_R9	
OG0015359	adi2mcaRNA11420_R0	
OG0015360	adi2mcaRNA11423_R2	
OG0015361	adi2mcaRNA11426_R5	
OG0015362	adi2mcaRNA11434_R0	
OG0015363	adi2mcaRNA11437_R1	
OG0015364	adi2mcaRNA11454_R7	
OG0015365	adi2mcaRNA11477_R1	
OG0015366	adi2mcaRNA11498_R1	
OG0015367	adi2mcaRNA11510_R1	
OG0015368	adi2mcaRNA11548_R0	
OG0015369	adi2mcaRNA11574_R0	
OG0015370	adi2mcaRNA11574_R1	
OG0015371	adi2mcaRNA1158_R2	
OG0015372	adi2mcaRNA1158_R5	
OG0015373	adi2mcaRNA11640_R1	
OG0015374	adi2mcaRNA11648_R7	
OG0015375	adi2mcaRNA11654_R0	
OG0015376	adi2mcaRNA1166_R3	
OG0015377	adi2mcaRNA11670_R2	
OG0015378	adi2mcaRNA11670_R4	
OG0015379	adi2mcaRNA11673_R0	
OG0015380	adi2mcaRNA11674_R0	
OG0015381	adi2mcaRNA11675_R3	
OG0015382	adi2mcaRNA11675_R4	
OG0015383	adi2mcaRNA11675_R7	
OG0015384	adi2mcaRNA11675_R8	
OG0015385	adi2mcaRNA11688_R2	
OG0015386	adi2mcaRNA11688_R3	
OG0015387	adi2mcaRNA11688_R5	
OG0015388	adi2mcaRNA11688_R7	
OG0015389	adi2mcaRNA11688_R9	
OG0015390	adi2mcaRNA11691_R3	
OG0015391	adi2mcaRNA11693_R0	
OG0015392	adi2mcaRNA11693_R1	
OG0015393	adi2mcaRNA11694_R1	
OG0015394	adi2mcaRNA11726_R7	
OG0015395	adi2mcaRNA11727_R1	
OG0015396	adi2mcaRNA1175_R0	
OG0015397	adi2mcaRNA11784_R2	
OG0015398	adi2mcaRNA11787_R1	
OG0015399	adi2mcaRNA11807_R1	
OG0015400	adi2mcaRNA11812_R1	
OG0015401	adi2mcaRNA11845_R6	
OG0015402	adi2mcaRNA11876_R0	
OG0015403	adi2mcaRNA11876_R3	
OG0015404	adi2mcaRNA11876_R4	
OG0015405	adi2mcaRNA11876_R7	
OG0015406	adi2mcaRNA11876_R9	
OG0015407	adi2mcaRNA11884_R1	
OG0015408	adi2mcaRNA11895_R5	
OG0015409	adi2mcaRNA11895_R7	
OG0015410	adi2mcaRNA11944_R1	
OG0015411	adi2mcaRNA11954_R0	
OG0015412	adi2mcaRNA11970_R5	
OG0015413	adi2mcaRNA12006_R0	
OG0015414	adi2mcaRNA12013_R0	
OG0015415	adi2mcaRNA12036_R0	
OG0015416	adi2mcaRNA12046_R0	
OG0015417	adi2mcaRNA12049_R0	
OG0015418	adi2mcaRNA12052_R0	
OG0015419	adi2mcaRNA12083_R5	
OG0015420	adi2mcaRNA12083_R8	
OG0015421	adi2mcaRNA12088_R8	
OG0015422	adi2mcaRNA12089_R4	
OG0015423	adi2mcaRNA12091_R0	
OG0015424	adi2mcaRNA12091_R2	
OG0015425	adi2mcaRNA12093_R5	
OG0015426	adi2mcaRNA12103_R0	
OG0015427	adi2mcaRNA12110_R2	
OG0015428	adi2mcaRNA12110_R3	
OG0015429	adi2mcaRNA12110_R6	
OG0015430	adi2mcaRNA12114_R0	
OG0015431	adi2mcaRNA12114_R1	
OG0015432	adi2mcaRNA12119_R0	
OG0015433	adi2mcaRNA12119_R1	
OG0015434	adi2mcaRNA12121_R1	
OG0015435	adi2mcaRNA12124_R0	
OG0015436	adi2mcaRNA12124_R1	
OG0015437	adi2mcaRNA12124_R3	
OG0015438	adi2mcaRNA12124_R4	
OG0015439	adi2mcaRNA12152_R1	
OG0015440	adi2mcaRNA12162_R1	
OG0015441	adi2mcaRNA12175_R1	
OG0015442	adi2mcaRNA12184_R3	
OG0015443	adi2mcaRNA12186_R3	
OG0015444	adi2mcaRNA12212_R1	
OG0015445	adi2mcaRNA12219_R0	
OG0015446	adi2mcaRNA12220_R1	
OG0015447	adi2mcaRNA12250_R1	
OG0015448	adi2mcaRNA12255_R2	
OG0015449	adi2mcaRNA12256_R0	
OG0015450	adi2mcaRNA12259_R5	
OG0015451	adi2mcaRNA12268_R0	
OG0015452	adi2mcaRNA12268_R1	
OG0015453	adi2mcaRNA12268_R2	
OG0015454	adi2mcaRNA12268_R4	
OG0015455	adi2mcaRNA12268_R6	
OG0015456	adi2mcaRNA12268_R7	
OG0015457	adi2mcaRNA12268_R9	
OG0015458	adi2mcaRNA12272_R0	
OG0015459	adi2mcaRNA12291_R6	
OG0015460	adi2mcaRNA12306_R2	
OG0015461	adi2mcaRNA12306_R3	
OG0015462	adi2mcaRNA12306_R4	
OG0015463	adi2mcaRNA12306_R7	
OG0015464	adi2mcaRNA12307_R0	
OG0015465	adi2mcaRNA12307_R7	
OG0015466	adi2mcaRNA12308_R7	
OG0015467	adi2mcaRNA12308_R8	
OG0015468	adi2mcaRNA12310_R9	
OG0015469	adi2mcaRNA12316_R0	
OG0015470	adi2mcaRNA12316_R1	
OG0015471	adi2mcaRNA12316_R2	
OG0015472	adi2mcaRNA12316_R4	
OG0015473	adi2mcaRNA12316_R5	
OG0015474	adi2mcaRNA12316_R8	
OG0015475	adi2mcaRNA12355_R2	
OG0015476	adi2mcaRNA12355_R5	
OG0015477	adi2mcaRNA12356_R0	
OG0015478	adi2mcaRNA12356_R1	
OG0015479	adi2mcaRNA12356_R2	
OG0015480	adi2mcaRNA12356_R4	
OG0015481	adi2mcaRNA12356_R5	
OG0015482	adi2mcaRNA12356_R6	
OG0015483	adi2mcaRNA12356_R7	
OG0015484	adi2mcaRNA12356_R8	
OG0015485	adi2mcaRNA12357_R2	
OG0015486	adi2mcaRNA12387_R3	
OG0015487	adi2mcaRNA12392_R0	
OG0015488	adi2mcaRNA1239_R3	
OG0015489	adi2mcaRNA12420_R3	
OG0015490	adi2mcaRNA12429_R1	
OG0015491	adi2mcaRNA12448_R4	
OG0015492	adi2mcaRNA12533_R7	
OG0015493	adi2mcaRNA12533_R8	
OG0015494	adi2mcaRNA1254_R0	
OG0015495	adi2mcaRNA12571_R0	
OG0015496	adi2mcaRNA12572_R0	
OG0015497	adi2mcaRNA12573_R1	
OG0015498	adi2mcaRNA12577_R5	
OG0015499	adi2mcaRNA12577_R6	
OG0015500	adi2mcaRNA12577_R9	
OG0015501	adi2mcaRNA12580_R0	
OG0015502	adi2mcaRNA12646_R3	
OG0015503	adi2mcaRNA12646_R9	
OG0015504	adi2mcaRNA12649_R0	
OG0015505	adi2mcaRNA12649_R1	
OG0015506	adi2mcaRNA12652_R7	
OG0015507	adi2mcaRNA12652_R8	
OG0015508	adi2mcaRNA12652_R9	
OG0015509	adi2mcaRNA12653_R1	
OG0015510	adi2mcaRNA12656_R1	
OG0015511	adi2mcaRNA12656_R2	
OG0015512	adi2mcaRNA12659_R8	
OG0015513	adi2mcaRNA12677_R0	
OG0015514	adi2mcaRNA12696_R7	
OG0015515	adi2mcaRNA12716_R2	
OG0015516	adi2mcaRNA12754_R0	
OG0015517	adi2mcaRNA12756_R0	
OG0015518	adi2mcaRNA12758_R2	
OG0015519	adi2mcaRNA12853_R2	
OG0015520	adi2mcaRNA12853_R6	
OG0015521	adi2mcaRNA12859_R2	
OG0015522	adi2mcaRNA12859_R6	
OG0015523	adi2mcaRNA12883_R0	
OG0015524	adi2mcaRNA12883_R1	
OG0015525	adi2mcaRNA12883_R2	
OG0015526	adi2mcaRNA12883_R3	
OG0015527	adi2mcaRNA12883_R4	
OG0015528	adi2mcaRNA12883_R5	
OG0015529	adi2mcaRNA12883_R6	
OG0015530	adi2mcaRNA12883_R7	
OG0015531	adi2mcaRNA12883_R8	
OG0015532	adi2mcaRNA12884_R1	
OG0015533	adi2mcaRNA12884_R2	
OG0015534	adi2mcaRNA12884_R4	
OG0015535	adi2mcaRNA12884_R7	
OG0015536	adi2mcaRNA12903_R0	
OG0015537	adi2mcaRNA12904_R5	
OG0015538	adi2mcaRNA12904_R6	
OG0015539	adi2mcaRNA12904_R7	
OG0015540	adi2mcaRNA12933_R1	
OG0015541	adi2mcaRNA12942_R0	
OG0015542	adi2mcaRNA12953_R1	
OG0015543	adi2mcaRNA12954_R0	
OG0015544	adi2mcaRNA12954_R1	
OG0015545	adi2mcaRNA12954_R6	
OG0015546	adi2mcaRNA12954_R8	
OG0015547	adi2mcaRNA12987_R1	
OG0015548	adi2mcaRNA12987_R6	
OG0015549	adi2mcaRNA12993_R4	
OG0015550	adi2mcaRNA12993_R5	
OG0015551	adi2mcaRNA12_R2	
OG0015552	adi2mcaRNA12_R5	
OG0015553	adi2mcaRNA13010_R9	
OG0015554	adi2mcaRNA13035_R0	
OG0015555	adi2mcaRNA13039_R0	
OG0015556	adi2mcaRNA13045_R0	
OG0015557	adi2mcaRNA13053_R1	
OG0015558	adi2mcaRNA13066_R0	
OG0015559	adi2mcaRNA13066_R2	
OG0015560	adi2mcaRNA13069_R1	
OG0015561	adi2mcaRNA13083_R0	
OG0015562	adi2mcaRNA13128_R2	
OG0015563	adi2mcaRNA13141_R1	
OG0015564	adi2mcaRNA13176_R1	
OG0015565	adi2mcaRNA13176_R2	
OG0015566	adi2mcaRNA13197_R4	
OG0015567	adi2mcaRNA13200_R1	
OG0015568	adi2mcaRNA13201_R2	
OG0015569	adi2mcaRNA13201_R3	
OG0015570	adi2mcaRNA13201_R6	
OG0015571	adi2mcaRNA13201_R8	
OG0015572	adi2mcaRNA13202_R0	
OG0015573	adi2mcaRNA13202_R4	
OG0015574	adi2mcaRNA13202_R5	
OG0015575	adi2mcaRNA13202_R6	
OG0015576	adi2mcaRNA13214_R2	
OG0015577	adi2mcaRNA13226_R0	
OG0015578	adi2mcaRNA13228_R0	
OG0015579	adi2mcaRNA13238_R0	
OG0015580	adi2mcaRNA13261_R3	
OG0015581	adi2mcaRNA13261_R4	
OG0015582	adi2mcaRNA13279_R2	
OG0015583	adi2mcaRNA13279_R4	
OG0015584	adi2mcaRNA13279_R5	
OG0015585	adi2mcaRNA13289_R5	
OG0015586	adi2mcaRNA13289_R8	
OG0015587	adi2mcaRNA13290_R5	
OG0015588	adi2mcaRNA13290_R6	
OG0015589	adi2mcaRNA13290_R7	
OG0015590	adi2mcaRNA13290_R8	
OG0015591	adi2mcaRNA13290_R9	
OG0015592	adi2mcaRNA13298_R1	
OG0015593	adi2mcaRNA13304_R0	
OG0015594	adi2mcaRNA13304_R1	
OG0015595	adi2mcaRNA13304_R3	
OG0015596	adi2mcaRNA13309_R3	
OG0015597	adi2mcaRNA13309_R5	
OG0015598	adi2mcaRNA13309_R6	
OG0015599	adi2mcaRNA13313_R0	
OG0015600	adi2mcaRNA13313_R4	
OG0015601	adi2mcaRNA13315_R1	
OG0015602	adi2mcaRNA13318_R2	
OG0015603	adi2mcaRNA13318_R3	
OG0015604	adi2mcaRNA13318_R4	
OG0015605	adi2mcaRNA13318_R7	
OG0015606	adi2mcaRNA13319_R1	
OG0015607	adi2mcaRNA13319_R2	
OG0015608	adi2mcaRNA13319_R3	
OG0015609	adi2mcaRNA13319_R5	
OG0015610	adi2mcaRNA13323_R8	
OG0015611	adi2mcaRNA13346_R0	
OG0015612	adi2mcaRNA13346_R2	
OG0015613	adi2mcaRNA1334_R0	
OG0015614	adi2mcaRNA13350_R4	
OG0015615	adi2mcaRNA13350_R5	
OG0015616	adi2mcaRNA13364_R6	
OG0015617	adi2mcaRNA13376_R2	
OG0015618	adi2mcaRNA13381_R1	
OG0015619	adi2mcaRNA13382_R8	
OG0015620	adi2mcaRNA13404_R7	
OG0015621	adi2mcaRNA13404_R9	
OG0015622	adi2mcaRNA13405_R1	
OG0015623	adi2mcaRNA13405_R4	
OG0015624	adi2mcaRNA13405_R8	
OG0015625	adi2mcaRNA13406_R1	
OG0015626	adi2mcaRNA13406_R8	
OG0015627	adi2mcaRNA13422_R3	
OG0015628	adi2mcaRNA13424_R6	
OG0015629	adi2mcaRNA13434_R2	
OG0015630	adi2mcaRNA13434_R3	
OG0015631	adi2mcaRNA13434_R4	
OG0015632	adi2mcaRNA13434_R7	
OG0015633	adi2mcaRNA13434_R8	
OG0015634	adi2mcaRNA13434_R9	
OG0015635	adi2mcaRNA13435_R1	
OG0015636	adi2mcaRNA13435_R3	
OG0015637	adi2mcaRNA13435_R4	
OG0015638	adi2mcaRNA13435_R6	
OG0015639	adi2mcaRNA13435_R8	
OG0015640	adi2mcaRNA13461_R9	
OG0015641	adi2mcaRNA13473_R1	
OG0015642	adi2mcaRNA13507_R5	
OG0015643	adi2mcaRNA13536_R8	
OG0015644	adi2mcaRNA13569_R8	
OG0015645	adi2mcaRNA13570_R0	
OG0015646	adi2mcaRNA13572_R0	
OG0015647	adi2mcaRNA13572_R2	
OG0015648	adi2mcaRNA13572_R3	
OG0015649	adi2mcaRNA13572_R4	
OG0015650	adi2mcaRNA13572_R6	
OG0015651	adi2mcaRNA13572_R7	
OG0015652	adi2mcaRNA13572_R8	
OG0015653	adi2mcaRNA13572_R9	
OG0015654	adi2mcaRNA13576_R6	
OG0015655	adi2mcaRNA13580_R0	
OG0015656	adi2mcaRNA13587_R1	
OG0015657	adi2mcaRNA13587_R4	
OG0015658	adi2mcaRNA13587_R6	
OG0015659	adi2mcaRNA13589_R0	
OG0015660	adi2mcaRNA13602_R0	
OG0015661	adi2mcaRNA13602_R3	
OG0015662	adi2mcaRNA13602_R4	
OG0015663	adi2mcaRNA13602_R7	
OG0015664	adi2mcaRNA13602_R8	
OG0015665	adi2mcaRNA13621_R0	
OG0015666	adi2mcaRNA13628_R8	
OG0015667	adi2mcaRNA13659_R9	
OG0015668	adi2mcaRNA13672_R2	
OG0015669	adi2mcaRNA13692_R0	
OG0015670	adi2mcaRNA13696_R1	
OG0015671	adi2mcaRNA13719_R1	
OG0015672	adi2mcaRNA13726_R3	
OG0015673	adi2mcaRNA13726_R5	
OG0015674	adi2mcaRNA13729_R0	
OG0015675	adi2mcaRNA13729_R1	
OG0015676	adi2mcaRNA13729_R2	
OG0015677	adi2mcaRNA13729_R4	
OG0015678	adi2mcaRNA13729_R5	
OG0015679	adi2mcaRNA13751_R1	
OG0015680	adi2mcaRNA13775_R4	
OG0015681	adi2mcaRNA13780_R2	
OG0015682	adi2mcaRNA13780_R4	
OG0015683	adi2mcaRNA13789_R2	
OG0015684	adi2mcaRNA13789_R5	
OG0015685	adi2mcaRNA13789_R7	
OG0015686	adi2mcaRNA13789_R9	
OG0015687	adi2mcaRNA13791_R1	
OG0015688	adi2mcaRNA13805_R2	
OG0015689	adi2mcaRNA13805_R4	
OG0015690	adi2mcaRNA13821_R0	
OG0015691	adi2mcaRNA13821_R3	
OG0015692	adi2mcaRNA13854_R2	
OG0015693	adi2mcaRNA13866_R4	
OG0015694	adi2mcaRNA13868_R0	
OG0015695	adi2mcaRNA13897_R7	
OG0015696	adi2mcaRNA13897_R9	
OG0015697	adi2mcaRNA13906_R7	
OG0015698	adi2mcaRNA13923_R6	
OG0015699	adi2mcaRNA13962_R0	
OG0015700	adi2mcaRNA13963_R0	
OG0015701	adi2mcaRNA13977_R3	
OG0015702	adi2mcaRNA13978_R0	
OG0015703	adi2mcaRNA13978_R1	
OG0015704	adi2mcaRNA13978_R2	
OG0015705	adi2mcaRNA13980_R0	
OG0015706	adi2mcaRNA13_R1	
OG0015707	adi2mcaRNA14013_R2	
OG0015708	adi2mcaRNA14013_R3	
OG0015709	adi2mcaRNA14013_R4	
OG0015710	adi2mcaRNA14013_R5	
OG0015711	adi2mcaRNA14033_R0	
OG0015712	adi2mcaRNA14033_R1	
OG0015713	adi2mcaRNA14068_R8	
OG0015714	adi2mcaRNA1408_R1	
OG0015715	adi2mcaRNA14091_R1	
OG0015716	adi2mcaRNA14091_R2	
OG0015717	adi2mcaRNA14091_R3	
OG0015718	adi2mcaRNA14091_R6	
OG0015719	adi2mcaRNA14091_R7	
OG0015720	adi2mcaRNA14091_R8	
OG0015721	adi2mcaRNA14092_R2	
OG0015722	adi2mcaRNA14094_R5	
OG0015723	adi2mcaRNA14095_R3	
OG0015724	adi2mcaRNA14098_R3	
OG0015725	adi2mcaRNA14098_R5	
OG0015726	adi2mcaRNA14099_R2	
OG0015727	adi2mcaRNA14103_R2	
OG0015728	adi2mcaRNA14104_R2	
OG0015729	adi2mcaRNA14105_R7	
OG0015730	adi2mcaRNA14107_R3	
OG0015731	adi2mcaRNA14108_R2	
OG0015732	adi2mcaRNA14108_R3	
OG0015733	adi2mcaRNA14108_R5	
OG0015734	adi2mcaRNA14108_R6	
OG0015735	adi2mcaRNA14108_R7	
OG0015736	adi2mcaRNA14108_R8	
OG0015737	adi2mcaRNA14109_R0	
OG0015738	adi2mcaRNA14109_R2	
OG0015739	adi2mcaRNA14110_R3	
OG0015740	adi2mcaRNA14111_R1	
OG0015741	adi2mcaRNA14111_R2	
OG0015742	adi2mcaRNA14111_R3	
OG0015743	adi2mcaRNA14111_R4	
OG0015744	adi2mcaRNA14111_R7	
OG0015745	adi2mcaRNA14136_R0	
OG0015746	adi2mcaRNA14136_R1	
OG0015747	adi2mcaRNA14143_R3	
OG0015748	adi2mcaRNA14164_R4	
OG0015749	adi2mcaRNA14178_R1	
OG0015750	adi2mcaRNA14178_R2	
OG0015751	adi2mcaRNA14180_R5	
OG0015752	adi2mcaRNA14181_R0	
OG0015753	adi2mcaRNA14181_R1	
OG0015754	adi2mcaRNA14181_R2	
OG0015755	adi2mcaRNA14181_R3	
OG0015756	adi2mcaRNA14181_R7	
OG0015757	adi2mcaRNA14181_R9	
OG0015758	adi2mcaRNA14204_R4	
OG0015759	adi2mcaRNA14204_R6	
OG0015760	adi2mcaRNA14204_R9	
OG0015761	adi2mcaRNA14205_R3	
