Orthogroup	Mcap.protein	Pocillopora_acuta_protein
OG0000010	adi2mcaRNA35513_R0, augustus.g45711.t1, augustus.g48488.t1	g11489, g17651, g18367, g20541, g22033, g22989, g23025, g23244, g24116, g27472, g29954, g30692, g33310, g36472, g37424, g39118, g39159, g40180, g41882, g43723, g46288, g46456, g49724, g50777, g55735, g6186, g61939, g61992, g6528, g7818, g802, g8538, g9162
OG0000011	adi2mcaRNA11354_R4, adi2mcaRNA11357_R3, adi2mcaRNA33101_R1	g10395, g15405, g21316, g21317, g21319, g21658, g21659, g21734, g23773, g24316, g29137, g30741, g31889, g31893, g31897, g31899, g31901, g34361, g35188, g37210, g42020, g42709, g43949, g49148, g49992, g51141, g51162, g53333, g55090, g55779, g57961, g57975
OG0000012	adi2mcaRNA35324_R0, augustus.g22845.t1, augustus.g67531.t1	g11109, g12694, g14956, g15385, g2055, g2119, g22502, g27892, g29661, g29682, g29734, g30672, g30799, g31688, g33292, g35383, g35572, g36489, g37304, g4089, g45113, g45520, g52706, g58607, g62147, g63102, g64404, g64494, g6603, g7442, g7628, g8523
OG0000013	augustus.g3108.t1, augustus.g52074.t1, augustus.g55032.t1, augustus.g61801.t1	g12791, g12845, g13619, g15807, g18877, g19554, g19689, g20807, g21754, g23149, g23415, g23858, g27429, g27485, g29142, g30239, g3172, g35400, g42778, g43062, g46106, g46114, g4635, g53554, g60117, g63116, g63137, g63388, g6534, g9078, g9580
OG0000014	augustus.g14027.t1, augustus.g14377.t1, augustus.g14946.t1, augustus.g61415.t1	g15067, g20312, g28088, g43151, g45980, g48072, g48450, g48489, g50283, g50964, g52195, g52601, g52737, g52942, g56337, g56535, g56807, g56809, g56863, g57036, g57039, g59099, g59397, g59577, g59584, g9221, g9751, g9762, g9767
OG0000015	augustus.g40032.t1, augustus.g54259.t1, augustus.g56854.t1	g13003, g19183, g20697, g20828, g27564, g28314, g28325, g29650, g32340, g32977, g34168, g36449, g40131, g40599, g43698, g43857, g43913, g46062, g4674, g47376, g50068, g51662, g5305, g53107, g56264, g58405, g58433, g6203, g63718, g7922
OG0000016	augustus.g37544.t1, augustus.g5178.t1	g17033, g17975, g17979, g19522, g23571, g23777, g26322, g28192, g2995, g30356, g30451, g35224, g3534, g35381, g36820, g39666, g40546, g45894, g47457, g47964, g48769, g53327, g5431, g54718, g55617, g5675, g60759, g61351, g61679, g9426
OG0000017	adi2mcaRNA39478_R0, augustus.g64077.t1	g10243, g10378, g11585, g15800, g18408, g19160, g24718, g25290, g25933, g26509, g29362, g30747, g31137, g31720, g33243, g35037, g39988, g4539, g46047, g47238, g47539, g4958, g52220, g53746, g60721, g61029, g61397, g63337, g9139
OG0000018	augustus.g24809.t1	g21352, g2467, g24729, g25831, g27532, g27539, g28380, g29977, g30759, g37217, g37784, g41608, g46371, g47941, g49398, g50270, g51386, g51825, g52609, g55715, g58659, g59236, g60800, g60803, g61590, g63085, g64277, g8747
OG0000019	augustus.g46485.t1, augustus.g50410.t1, augustus.g50921.t1	g11554, g12032, g14466, g16712, g16761, g17363, g21305, g25886, g28923, g32908, g32943, g34858, g35904, g44422, g44429, g46451, g4662, g51347, g52650, g55035, g55717, g56506, g60605, g60829, g61613, g7358
OG0000020	augustus.g20124.t1, augustus.g38084.t1	g10922, g10923, g27365, g2825, g2826, g2827, g2829, g29412, g29413, g29421, g29424, g29425, g36699, g36701, g39783, g44577, g45525, g45527, g48018, g49823, g50724, g51236, g56268, g57757, g60898, g841
OG0000021	adi2mcaRNA3142_R1, augustus.g25071.t1, augustus.g41421.t1, augustus.g52631.t1, augustus.g66737.t1	g1146, g12958, g13309, g13402, g19028, g20206, g21663, g21814, g23202, g26846, g29556, g30253, g34592, g36253, g40642, g50642, g51419, g51660, g5788, g6721, g7314, g7811
OG0000022	adi2mcaRNA36181_R0, adi2mcaRNA4881_R0, augustus.g14037.t1, augustus.g14039.t1, augustus.g14826.t1	g10446, g12733, g16964, g16975, g16984, g16987, g16992, g16996, g17000, g17006, g17008, g17014, g23122, g23124, g27257, g37746, g41211, g41696, g47332, g47335, g52437, g60985
OG0000023	augustus.g10445.t1, augustus.g15291.t1, augustus.g41731.t1, augustus.g9930.t1	g11238, g13293, g13458, g13585, g13652, g15044, g15267, g16058, g16224, g17701, g18885, g21051, g22247, g34266, g36868, g38188, g41634, g53256, g53706, g57722, g6072, g7094, g8493
OG0000024	augustus.g11667.t1, augustus.g1168.t1, augustus.g17680.t1, augustus.g18679.t1, augustus.g18697.t1, augustus.g26692.t1, augustus.g26734.t1, augustus.g32849.t1, augustus.g34313.t1, augustus.g39963.t1, augustus.g40022.t1, augustus.g43154.t1, augustus.g44433.t1, augustus.g47128.t1, augustus.g49266.t1, augustus.g50047.t1, augustus.g50912.t1, augustus.g53091.t1, augustus.g54800.t1, augustus.g60536.t1, augustus.g62171.t1, augustus.g66132.t1, augustus.g66241.t1, augustus.g68571.t1, augustus.g71088.t1, augustus.g8439.t1	g50345
OG0000025	augustus.g14556.t1, augustus.g14564.t1, augustus.g67847.t1, augustus.g7651.t1	g12222, g14940, g16749, g19314, g23116, g23762, g30828, g32176, g32177, g32407, g32626, g38053, g40184, g40670, g43301, g45153, g47591, g47618, g49775, g50619, g5304, g55595, g7490
OG0000026	adi2mcaRNA15538_R0, adi2mcaRNA2910_R0, augustus.g20214.t1, augustus.g6542.t1, augustus.g9989.t1	g10441, g12215, g15052, g16930, g20092, g26769, g38995, g41311, g42733, g43082, g43097, g43501, g46500, g48424, g4898, g50683, g5326, g54930, g62167, g64536, g9547
OG0000027	adi2mcaRNA24959_R9, adi2mcaRNA24961_R7, adi2mcaRNA25578_R8, adi2mcaRNA25587_R9, adi2mcaRNA25593_R5, adi2mcaRNA36695_R4, adi2mcaRNA36696_R6, adi2mcaRNA36696_R8, augustus.g15052.t1, augustus.g389.t1, augustus.g390.t1, augustus.g391.t1, augustus.g400.t1, augustus.g403.t1, augustus.g69719.t1, augustus.g70643.t1, augustus.g70644.t1, augustus.g70645.t1, augustus.g70656.t1, augustus.g7474.t1, augustus.g9801.t1	g19082, g19083, g19084, g46235, g51096
OG0000028	adi2mcaRNA26219_R1, augustus.g69899.t1	g21081, g27109, g28853, g2967, g30411, g34358, g35373, g37546, g40989, g41360, g41874, g46510, g50624, g52378, g52500, g53234, g53332, g56859, g58773, g62662, g63179, g64248, g64252, g64257
OG0000029	augustus.g1170.t1, augustus.g59606.t1, augustus.g68785.t1	g12389, g17418, g21445, g25524, g29167, g34454, g35017, g37939, g3823, g46394, g46401, g49894, g50229, g53154, g53499, g53665, g54852, g56842, g57682, g58536, g62299, g62784, g6738
OG0000030	adi2mcaRNA11011_R0, augustus.g36044.t1, augustus.g42281.t1, augustus.g42837.t1, augustus.g44710.t1, augustus.g56501.t1, augustus.g7499.t1	g11863, g12646, g15047, g19817, g29119, g29595, g30418, g3979, g44019, g46202, g46800, g48795, g53041, g56544, g5951, g62196, g64072, g6862
OG0000031	adi2mcaRNA13288_R9, adi2mcaRNA21342_R8, augustus.g10169.t1, augustus.g10171.t1, augustus.g23969.t1, augustus.g23984.t1, augustus.g36995.t1, augustus.g39746.t1, augustus.g39752.t1, augustus.g4162.t1, augustus.g4168.t1, augustus.g4172.t1, augustus.g45785.t1, augustus.g45786.t1, augustus.g45790.t1, augustus.g45791.t1, augustus.g45799.t1, augustus.g67963.t1, augustus.g67964.t1, augustus.g67970.t1, augustus.g67974.t1, augustus.g70196.t1, augustus.g70199.t1	g17466, g17467
OG0000032	adi2mcaRNA9523_R7, adi2mcaRNA9523_R9	g17152, g17153, g17597, g28742, g28747, g28749, g28752, g28754, g34582, g34585, g36087, g43974, g44336, g50234, g50661, g51306, g51307, g52247, g5373, g54351, g55460, g56033, g56107
OG0000033	augustus.g2302.t1	g1128, g12206, g15395, g15876, g19544, g20344, g22634, g25705, g27040, g27380, g28740, g29473, g32122, g32227, g40791, g4111, g42402, g4678, g47339, g58209, g5937, g655, g8802, g9031
OG0000034	augustus.g28682.t1	g20126, g33118, g33133, g33257, g37968, g50295, g50298, g51555, g51561, g52517, g53551, g53555, g53658, g54332, g55510, g57417, g58211, g58212, g58215, g58267, g58564, g59443, g9716, g9725
OG0000035	augustus.g41901.t1, augustus.g68946.t1	g15957, g15958, g15961, g15965, g24234, g25384, g25385, g31936, g31937, g31938, g31963, g53241, g54681, g56079, g56080, g56084, g56085, g56086, g56088, g57724, g59760, g59762, g59763
OG0000036	augustus.g47990.t1, augustus.g68938.t1	g10683, g1269, g15634, g15813, g16318, g22689, g26571, g28322, g28429, g30372, g31476, g31804, g32130, g3330, g33721, g39888, g45950, g49343, g55594, g56513, g61913, g7326, g8647
OG0000037	augustus.g55985.t1, augustus.g64079.t1, augustus.g66243.t1	g14213, g18878, g21147, g23979, g29079, g30057, g3028, g31246, g31854, g32103, g34527, g35559, g3681, g38024, g38401, g38403, g43029, g45225, g49387, g52053, g57324, g63929
OG0000038	adi2mcaRNA19545_R6, adi2mcaRNA19545_R7, adi2mcaRNA19545_R8	g10140, g13281, g13777, g13902, g14398, g14675, g14877, g18936, g19949, g20889, g27354, g27760, g39712, g40874, g46208, g47764, g62281, g62549, g6691, g7297, g8812
OG0000039	adi2mcaRNA24375_R0, adi2mcaRNA24375_R1, adi2mcaRNA24375_R2, adi2mcaRNA24375_R4, adi2mcaRNA24375_R7, adi2mcaRNA39662_R8, augustus.g24538.t1, augustus.g24596.t1, augustus.g5731.t1, augustus.g59025.t1, augustus.g65136.t1	g14851, g35909, g35910, g37398, g37415, g39736, g42680, g42685, g46588, g51498, g51501, g54603, g58200
OG0000040	adi2mcaRNA3284_R1, augustus.g60246.t1	g11018, g11775, g19919, g27595, g27987, g2802, g29952, g30895, g31494, g38413, g38775, g42002, g43832, g49479, g51700, g52495, g5409, g55388, g62894, g860, g8801, g947
OG0000041	adi2mcaRNA5727_R6, adi2mcaRNA5729_R0, adi2mcaRNA5731_R5, adi2mcaRNA5731_R9, augustus.g13185.t1, augustus.g18820.t1, augustus.g3241.t1, augustus.g3252.t1, augustus.g3257.t1, augustus.g49307.t1, augustus.g60783.t1, augustus.g60784.t1, augustus.g60786.t1, augustus.g71109.t1, augustus.g71111.t1, augustus.g71112.t1, augustus.g71113.t1, augustus.g71118.t1, augustus.g833.t1, augustus.g8555.t1, augustus.g8556.t1	g36402, g48741, g61657
OG0000042	augustus.g18865.t1, augustus.g70004.t1	g12449, g12920, g16837, g17845, g19852, g20028, g20114, g23140, g23270, g27467, g3006, g32913, g37777, g38433, g40672, g43774, g45431, g47215, g50059, g55255, g55883, g55978
OG0000043	augustus.g26466.t1	g1121, g15318, g21900, g23880, g27781, g29775, g30001, g34405, g35558, g3893, g41083, g43385, g45586, g45797, g4714, g50814, g53487, g54076, g56909, g60065, g61575, g63489, g63519
OG0000044	augustus.g27633.t1, augustus.g50878.t1, augustus.g69412.t1	g1031, g10314, g14759, g15166, g15622, g18821, g18977, g20065, g20089, g20743, g23098, g29484, g30063, g3135, g53350, g53564, g57901, g59006, g61004, g63138, g6593
OG0000045	adi2mcaRNA15068_R6, adi2mcaRNA15070_R6, adi2mcaRNA15071_R4, adi2mcaRNA15071_R8, adi2mcaRNA34528_R0, adi2mcaRNA34528_R2, adi2mcaRNA7824_R0, adi2mcaRNA7824_R6, adi2mcaRNA7825_R3, adi2mcaRNA7825_R7, augustus.g20215.t1, augustus.g42746.t1, augustus.g42760.t1, augustus.g42761.t1, augustus.g42784.t1, augustus.g42797.t1, augustus.g42801.t1, augustus.g58194.t1, augustus.g58206.t1, augustus.g58220.t1, augustus.g58223.t1, augustus.g58229.t1, augustus.g6480.t1	
OG0000046	adi2mcaRNA7268_R0, augustus.g70716.t1	g14770, g16225, g24403, g25600, g29570, g32852, g34894, g3673, g37564, g41506, g42339, g43543, g44316, g46628, g53345, g59057, g60907, g61030, g63158, g64551, g7754
OG0000047	adi2mcaRNA7540_R0	g14009, g20516, g22449, g24532, g25476, g26365, g28839, g31345, g35253, g39540, g4059, g41260, g46075, g47859, g48390, g49104, g53070, g53482, g57965, g8953, g8957, g941
OG0000048	augustus.g10743.t1, augustus.g15515.t1, augustus.g16143.t1, augustus.g16243.t1, augustus.g17149.t1, augustus.g2129.t1, augustus.g24433.t1, augustus.g29486.t1, augustus.g29531.t1, augustus.g32556.t1, augustus.g32557.t1, augustus.g32563.t1, augustus.g35617.t1, augustus.g38282.t1, augustus.g42989.t1, augustus.g47212.t1, augustus.g51765.t1, augustus.g57482.t1, augustus.g6013.t1, augustus.g61787.t1, augustus.g63722.t1, augustus.g6811.t1, augustus.g70113.t1	
OG0000049	augustus.g11448.t1, augustus.g14069.t1, augustus.g16342.t1, augustus.g25913.t1, augustus.g3446.t1, augustus.g39002.t1, augustus.g4240.t1, augustus.g4241.t1, augustus.g45306.t1, augustus.g47092.t1, augustus.g47093.t1, augustus.g48224.t1, augustus.g53979.t1, augustus.g53980.t1, augustus.g56476.t1, augustus.g56477.t1, augustus.g59106.t1, augustus.g60812.t1, augustus.g66034.t1, augustus.g70005.t1, augustus.g71240.t1, augustus.g71417.t1	g56791
OG0000050	augustus.g44554.t1	g13773, g16393, g20515, g24229, g26004, g26616, g29235, g3697, g37100, g3723, g38393, g3990, g40445, g42100, g45590, g46379, g48975, g49010, g57856, g58937, g62173, g62645
OG0000051	adi2mcaRNA12149_R0, adi2mcaRNA12155_R7, adi2mcaRNA12159_R3, adi2mcaRNA13181_R2, adi2mcaRNA13181_R3, adi2mcaRNA13184_R7, adi2mcaRNA13408_R6, adi2mcaRNA32116_R3, adi2mcaRNA32116_R6, adi2mcaRNA32118_R5, adi2mcaRNA32118_R6, adi2mcaRNA35572_R3, adi2mcaRNA35639_R6, adi2mcaRNA35641_R2, adi2mcaRNA38139_R6, adi2mcaRNA38140_R6, adi2mcaRNA39217_R8, adi2mcaRNA39218_R0, adi2mcaRNA39218_R8, adi2mcaRNA40614_R9	g30313, g32529
OG0000052	adi2mcaRNA13789_R3	g2468, g27533, g29815, g30615, g33774, g36213, g37590, g4054, g41225, g42651, g45989, g47252, g50764, g5278, g54034, g55438, g56500, g61567, g63112, g63698, g8327
OG0000053	adi2mcaRNA31509_R3, adi2mcaRNA31509_R8	g21039, g23337, g32282, g36978, g38245, g40039, g40040, g40041, g43064, g45869, g48071, g48306, g51997, g52533, g53651, g56462, g60998, g62426, g63686, g8075
OG0000054	adi2mcaRNA32097_R1, augustus.g39241.t1, augustus.g53330.t1, augustus.g53450.t1, augustus.g55961.t1, augustus.g55963.t1, augustus.g7846.t1	g13317, g22200, g22210, g33452, g39849, g42777, g42834, g42842, g42849, g49406, g51106, g53139, g53521, g54772, g56830
OG0000055	adi2mcaRNA906_R0, augustus.g15393.t1, augustus.g15400.t1, augustus.g17496.t1, augustus.g19381.t1, augustus.g29825.t1, augustus.g4977.t1, augustus.g4981.t1, augustus.g4985.t1, augustus.g4989.t1, augustus.g4991.t1, augustus.g4992.t1, augustus.g4993.t1, augustus.g4994.t1, augustus.g63371.t1, augustus.g63373.t1, augustus.g65836.t1, augustus.g65837.t1, augustus.g9247.t1, augustus.g9350.t1	g10560, g35111
OG0000056	augustus.g10762.t1, augustus.g11854.t1, augustus.g11855.t1, augustus.g16676.t1, augustus.g31277.t1, augustus.g31280.t1, augustus.g31285.t1, augustus.g31288.t1, augustus.g31305.t1, augustus.g31308.t1, augustus.g31317.t1, augustus.g31319.t1, augustus.g31322.t1, augustus.g62982.t1, augustus.g62984.t1, augustus.g62998.t1, augustus.g63001.t1, augustus.g63009.t1, augustus.g69889.t1, augustus.g69893.t1, augustus.g8204.t1, augustus.g8212.t1	
OG0000057	augustus.g12440.t1, augustus.g20693.t1	g16337, g25070, g26517, g29330, g30790, g31827, g3254, g33504, g35809, g41298, g46427, g47300, g48112, g48917, g56270, g58459, g60825, g62871, g8005, g8351
OG0000058	augustus.g12564.t1, augustus.g15999.t1, augustus.g1608.t1, augustus.g16329.t1, augustus.g18133.t1, augustus.g18195.t1, augustus.g18894.t1, augustus.g19005.t1, augustus.g19562.t1, augustus.g23195.t1, augustus.g25850.t1, augustus.g29426.t1, augustus.g29429.t1, augustus.g29992.t1, augustus.g42527.t1, augustus.g4491.t1, augustus.g5098.t1, augustus.g52956.t1, augustus.g59604.t1, augustus.g67204.t1	g48570, g60198
OG0000059	augustus.g43665.t1, augustus.g65319.t1	g12698, g1281, g16463, g22085, g24772, g24914, g25176, g25498, g27903, g29150, g35469, g36477, g36601, g3930, g51334, g54614, g54735, g56162, g60963, g63447
OG0000060		g13320, g13601, g15586, g21114, g2263, g2538, g27189, g28288, g28326, g29266, g30354, g31461, g32600, g345, g37779, g38273, g39555, g40616, g49786, g51618, g56455, g57778
OG0000061		g1681, g18329, g19440, g20947, g2237, g28265, g30917, g32139, g36684, g36706, g38940, g46694, g46789, g48270, g50628, g54507, g55412, g55702, g58396, g58841, g61546, g9466
OG0000062	adi2mcaRNA18771_R0, augustus.g14784.t1	g23688, g24613, g25724, g27588, g28081, g36236, g37988, g40778, g4352, g47832, g51877, g54113, g56113, g56361, g57388, g58535, g59415, g59486, g9192
OG0000063	adi2mcaRNA35582_R0, augustus.g46955.t1	g12636, g13963, g20717, g27735, g285, g319, g3693, g38077, g39443, g40645, g42060, g49040, g57337, g60711, g60920, g64451, g6472, g8235, g8350
OG0000064	augustus.g12930.t1, augustus.g40392.t1, augustus.g60181.t1, augustus.g60363.t1	g12192, g16519, g18402, g20450, g20518, g2089, g23838, g26051, g34074, g36390, g38449, g38606, g61791, g63131, g64188, g6435, g7742
OG0000065	augustus.g70134.t1	g1, g20058, g20313, g28083, g28090, g37526, g48472, g51023, g52197, g52460, g52596, g52738, g52944, g54429, g54430, g55996, g56810, g59169, g59583, g9753
OG0000066	adi2mcaRNA1022_R0	g10963, g11702, g12881, g1675, g18980, g22294, g22650, g32809, g3562, g36094, g36965, g40558, g45949, g48484, g48652, g62928, g64442, g9117, g9390
OG0000067	adi2mcaRNA14645_R4, adi2mcaRNA14645_R5, adi2mcaRNA20193_R0, adi2mcaRNA20193_R2, adi2mcaRNA20193_R3, adi2mcaRNA20193_R6, adi2mcaRNA20193_R7, adi2mcaRNA22935_R0, adi2mcaRNA22936_R5, adi2mcaRNA22936_R6, adi2mcaRNA22936_R7, adi2mcaRNA22936_R9, adi2mcaRNA29515_R1, adi2mcaRNA29515_R2, adi2mcaRNA29515_R3, adi2mcaRNA29515_R4, adi2mcaRNA29515_R6, adi2mcaRNA39056_R1, adi2mcaRNA9222_R0	g62749
OG0000068	adi2mcaRNA30313_R1, augustus.g10641.t1, augustus.g18810.t1, augustus.g2375.t1, augustus.g28885.t1, augustus.g31648.t1, augustus.g3801.t1, augustus.g41725.t1, augustus.g4190.t1, augustus.g4657.t1, augustus.g47449.t1, augustus.g63014.t1, augustus.g63015.t1, augustus.g65629.t1, augustus.g68278.t1, augustus.g7571.t1, augustus.g7592.t1, augustus.g7602.t1	g62307, g62626
OG0000069	augustus.g14117.t1, augustus.g16813.t1, augustus.g18828.t1, augustus.g19190.t1, augustus.g19565.t1, augustus.g22245.t1, augustus.g22246.t1, augustus.g3041.t1, augustus.g38214.t1, augustus.g3982.t1, augustus.g47423.t1, augustus.g48633.t1, augustus.g60196.t1, augustus.g60864.t1, augustus.g60867.t1, augustus.g68555.t1, augustus.g68968.t1, augustus.g70224.t1, augustus.g7990.t1, augustus.g8542.t1	
OG0000070	augustus.g17677.t1, augustus.g46751.t1, augustus.g60888.t1	g11858, g11889, g15664, g17604, g1832, g18974, g24570, g2837, g3205, g32862, g38326, g4681, g49984, g50667, g5459, g55590, g58556
OG0000071	augustus.g19355.t1, augustus.g19356.t1, augustus.g19358.t1, augustus.g4910.t1, augustus.g4911.t1, augustus.g4916.t1, augustus.g4917.t1, augustus.g50716.t1, augustus.g9736.t1, augustus.g9737.t1, augustus.g9742.t1, augustus.g9743.t1, augustus.g9744.t1, augustus.g9745.t1, augustus.g9746.t1, augustus.g9747.t1, augustus.g9748.t1, augustus.g9749.t1	g44003, g44005
OG0000072	augustus.g2820.t1, augustus.g5892.t1	g10976, g1585, g16121, g17743, g26012, g27660, g32259, g37048, g38341, g45772, g48228, g53325, g53950, g5548, g63716, g6867, g7787, g7809
OG0000073		g12680, g13954, g15511, g19981, g28239, g31434, g35746, g38282, g38516, g40201, g43580, g47847, g48344, g52027, g54543, g55184, g57699, g59324, g64320, g8298
OG0000074	adi2mcaRNA17557_R0, augustus.g21039.t1	g15638, g17957, g24396, g2577, g34566, g38161, g39673, g42259, g44102, g45521, g51956, g5528, g55347, g58936, g61829, g669, g9693
OG0000075	adi2mcaRNA22449_R1, adi2mcaRNA22449_R2, adi2mcaRNA22449_R3, adi2mcaRNA22449_R4, adi2mcaRNA22449_R5, adi2mcaRNA22449_R6, adi2mcaRNA22449_R7, adi2mcaRNA22449_R8, adi2mcaRNA22449_R9, adi2mcaRNA27776_R0, adi2mcaRNA27776_R3, adi2mcaRNA27776_R4, adi2mcaRNA27776_R6, adi2mcaRNA27776_R8, augustus.g14675.t1, augustus.g43952.t1, augustus.g44679.t1, augustus.g64967.t1	g42807
OG0000076	adi2mcaRNA26978_R4, adi2mcaRNA26978_R5, adi2mcaRNA26978_R7, adi2mcaRNA26978_R8, adi2mcaRNA26978_R9, adi2mcaRNA37699_R9, augustus.g163.t1, augustus.g183.t1, augustus.g20614.t1, augustus.g5406.t1, augustus.g55458.t1, augustus.g55464.t1, augustus.g55470.t1, augustus.g64827.t1, augustus.g64844.t1, augustus.g64848.t1	g30216, g49071, g61071
OG0000077	augustus.g10270.t1, augustus.g15607.t1, augustus.g17010.t1, augustus.g20675.t1, augustus.g22308.t1, augustus.g22936.t1, augustus.g32328.t1, augustus.g33317.t1, augustus.g54084.t1, augustus.g56417.t1, augustus.g59391.t1, augustus.g62214.t1, augustus.g63742.t1, augustus.g64520.t1, augustus.g6853.t1, augustus.g69352.t1	g28440, g48711, g50011
OG0000078	augustus.g11056.t1, augustus.g23391.t1, augustus.g26039.t1, augustus.g29599.t1, augustus.g30540.t1, augustus.g37712.t1, augustus.g50030.t1, augustus.g50326.t1, augustus.g53667.t1, augustus.g55589.t1, augustus.g56213.t1, augustus.g57880.t1, augustus.g66614.t1, augustus.g67823.t1, augustus.g68311.t1, augustus.g69942.t1, augustus.g71008.t1, augustus.g8405.t1	g37410
OG0000079	augustus.g11567.t1, augustus.g11575.t1, augustus.g12655.t1, augustus.g13729.t1, augustus.g16884.t1, augustus.g18552.t1, augustus.g18585.t1, augustus.g19931.t1, augustus.g2292.t1, augustus.g3275.t1, augustus.g3823.t1, augustus.g40111.t1, augustus.g47795.t1, augustus.g4894.t1, augustus.g5491.t1, augustus.g60082.t1, augustus.g67491.t1	g49403, g62938
OG0000080	augustus.g13643.t1, augustus.g13644.t1	g10869, g12617, g14359, g28208, g32723, g34417, g35573, g37216, g51830, g54143, g55783, g57054, g60494, g63565, g684, g8032, g8597
