	WGBS_1	WGBS_2	WGBS_3	MBDBS_1	MBDBS_2	MBDBS_3	RRBS_1	RRBS_2	RRBS_3
102:14197-14199	0	2.857143	3.529412	0	0	0	0.479616	0.359712	1.9678
102:14206-14208	4.166667	5.479452	3.370787	4.347826	12.5	0	1.438849	1.079137	1.607143
102:14209-14211	3.571429	6.25	6.25	3.448276	11.111111	0	2.63789	1.083032	1.964286
102:14214-14216	2	0	4.166667	0	20	0	0.479616	0	1.607143
102:14217-14219	1.960784	2.702703	2.173913	3.448276	0	0	0.959233	0.724638	2.329749
102:14220-14222	5.882353	10	8.791209	16.666667	16.666667	7.692308	6.098081	17.935616	7.491356
102:14238-14240	4.615385	3.157895	3.539823	0	10	0	1.321702	4.699488	1.292568
102:14249-14251	1.428571	5.555556	9.090909	8.695652	0	0	3.06699	6.921867	1.308032
102:14251-14253	0	4.716981	3.278689	8.333333	8.333333	0	3.030915	6.83604	1.420402
102:14257-14259	1.190476	2.564103	3.875969	3.846154	6.666667	0	2.685241	4.872937	0.939746
102:14288-14290	0.952381	2.684564	0.666667	2.857143	0	5.263158	0.968523	2.304268	1.84196
102:14367-14369	9.375	23.636364	13.793103	20	12.5	0	2.443951	3.22884	2.475522
1033:234213-234215	0	0	0	11.111111	0	0	6.707317	13.333333	14.285714
1033:234573-234575	0	5.555556	7.407407	0	0	9.090909	3.862661	7.2	4.680851
1033:234600-234602	0	0	0	0	0	10	0	0	0
1033:234606-234608	0	6.25	0	0	0	10	0	0	0
106:1124642-1124644	0	0	0	0	0	0	6.081081	5.714286	6.349206
1065:243211-243213	0	0	0	0	0	0	0	0	0
1065:243213-243215	0	0	0	0	40	0	7.692308	0	0
1065:243217-243219	0	0	0	0	20	0	10.795455	2.597403	15.425532
1065:243220-243222	0	0	0	0	40	0	8.58209	2.439024	5.970149
1065:243238-243240	0	8.333333	0	0	0	0	2.61194	2.419355	3.58209
1067:2230-2232	0	3.125	1.851852	0	0	0	0.863931	4.347826	5.263158
1067:2249-2251	0	0	0	0	0	0	0.733391	0	5.263158
1067:2289-2291	0	0	4.210526	4.761905	10	9.090909	0.733391	0	5.263158
1067:2308-2310	3.030303	0	0	0	0	0	1.294778	0	5.263158
1067:2338-2340	4.761905	1.333333	2.352941	0	0	0	0.692042	4.347826	5.263158
1067:2340-2342	8.510638	5.376344	1.111111	2.777778	0	0	0.995671	4.347826	5.263158
1067:2343-2345	2.173913	5.208333	2.247191	0	10	0	0.477016	4.347826	5.263158
1067:2345-2347	2.222222	1.06383	0	0	0	0	0.519256	4.347826	5.263158
1067:2348-2350	9.52381	4.597701	2.380952	0	0	0	16.312057	9.090909	13.333333
1067:2418-2420	0	1.015228	0	0	0	0	0	0	0
1067:2448-2450	0	0.460829	0	1.052632	5.882353	0	0	0	23.529412
1067:2461-2463	0	1.030928	0	1.176471	0	11.111111	0	0	23.529412
1067:2481-2483	0	1.204819	1.052632	1.388889	0	0	0	11.111111	30.769231
1067:2513-2515	0	2.547771	1.219512	1.818182	0	0	40	22.222222	33.333333
1067:3615-3617	3.076923	0	1.020408	0	0	0	0.297619	0.424929	0.266312
1067:3643-3645	0	0	0	11.111111	7.142857	0	0.597015	0.565771	1.331558
1067:3683-3685	0	0	0	0	0	0	0.149477	0.282087	0.801068
1067:3700-3702	3.333333	0	0	0	0	0	0.597015	0.564972	0.133333
109:89411-89413	0	0	0	0	0	20	0	1.111111	1.06383
109:89435-89437	0	0	0	0	0	20	2.105263	0	1.06383
1095:30013-30015	1.818182	0	0	0	0	0	0	0	0
1095:30018-30020	1.818182	0	0	0	0	0	0	0	7.692308
1095:30022-30024	0	0	2.631579	0	0	0	0	0	0
1095:30026-30028	0	0	0	0	0	0	0	0	0
1095:30036-30038	1.5625	2.272727	3.75	0	6.25	3.846154	0	0	0
1095:30050-30052	4.411765	0	2.380952	2.439024	4.761905	0	0	0	0
1095:30066-30068	0	1.818182	4.395604	0	0	0	0	0	0
1095:30079-30081	2.739726	0	5.494505	0	0	4	7.692308	0	0
1097:246357-246359	0	0	0	0	0	0	1.851852	0	0
1110:168373-168375	80	100	100	100	100	100	66.666667	100	70.833333
1110:168378-168380	83.333333	100	83.333333	90.909091	100	87.5	68.421053	92.682927	77.083333
1113:227256-227258	0	0	3.030303	0	0	0	0.591716	0.704225	1.041667
1113:227259-227261	0	0	0	0	0	0	0	0.70922	1.736111
1113:227282-227284	6.666667	0	0	0	0	0	5	3.915171	7.356608
1113:227307-227309	0	0	6.896552	0	0	0	0.550964	0.361664	0.723589
1113:227315-227317	18.75	0	6.896552	0	14.285714	0	0.550964	0.542495	10
1113:227317-227319	6.25	5.555556	0	0	14.285714	0	0.275482	0.543478	11.432706
1122:89833-89835	8.333333	6.666667	0	11.111111	0	0	0	10	0
1122:89846-89848	0	0	0	10	0	0	0	0	0
1122:89862-89864	0	7.692308	0	0	14.285714	0	0	0	0
1122:89876-89878	4.545455	0	0	0	0	0	4.761905	0	0
1122:89886-89888	5.263158	0	0	0	0	0	0	0	0
1125:99790-99792	0	0	0	0	0	0	0	1.492537	1.829268
1125:99847-99849	0	4.347826	2.222222	0	11.111111	0	0	0	0.625
1125:100014-100016	0	2	0.909091	0	0	0	0	0	0
1125:100080-100082	0.961538	0.833333	0	0	0	0	3.846154	0	0
1125:100102-100104	1.086957	0	0	0	0	0	0	0	0
1125:100139-100141	0	1.515152	1.204819	0	0	0	1.923077	0	0
1125:100148-100150	1.754386	0	0	0	0	0	0	0	2.12766
1125:100152-100154	0	1.515152	1.428571	0	0	0	0	0	0
1125:100168-100170	0	0	0	20	0	0	0	8.333333	2.12766
1125:101136-101138	3.448276	0	0	0	0	0	0	0	0
1125:101145-101147	0	0	0	0	0	6.25	0.634921	0.649351	0.619195
1125:101162-101164	0	0	1.492537	0	0	0	2.072539	0	0.854701
1125:101191-101193	0	1.960784	0	0	0	0	1.501502	1.875	0.58651
1125:101200-101202	0	4.255319	0	0	0	7.692308	0.60241	0	0.294118
1125:103107-103109	0	0	0	0	0	0	0	0.671141	0.413223
1125:103129-103131	0	0	0	0	0	0	0	1.342282	0.816327
1125:103175-103177	0	3.333333	0	0	0	0	0	1.333333	0
1125:103196-103198	0	4	2.941176	0	0	0	2.298851	2.040816	2.857143
1125:105246-105248	1.449275	5	1.785714	3.703704	8.333333	0	0	0	0
1125:105255-105257	1.298701	0	3.076923	0	0	0	0	0	0
1125:105259-105261	2.5	0	0.719424	0	0	0	0	0	0
1125:105283-105285	1.06383	0	1.123596	0	0	0	0.698439	0.80661	0.738552
1125:105364-105366	0.617284	1.515152	0	1.369863	0	0	0.574831	0.196696	0.681276
1125:105373-105375	0	0.729927	1.792115	0	0	1.851852	0.656949	0.531078	0.670759
1125:105402-105404	0	0	2	7.407407	0	0	0.414164	0.334324	0.575476
1125:105419-105421	0.78125	0.793651	1.282051	0	0	0	0.939315	0.282952	0.771482
1125:105428-105430	2.390438	0	0.501253	0	0	0	0.531915	0.546448	0.854701
1125:105476-105478	1.893939	2.083333	1.554404	1.041667	0	0	0.518425	0.423057	0.829551
1125:105494-105496	1.176471	0.638978	2.004008	1.526718	2.941176	2.352941	0.481903	0.668502	0.702709
1125:105516-105518	1.002506	0	0.986842	0	0	0	0.501935	0.361882	0.763889
1125:105553-105555	1.023018	2.432432	0.853242	0	2.912621	0.943396	0.482596	0.590667	0.714934
1125:105562-105564	1.036269	1.362398	1.023891	0.675676	0.961538	0.909091	0.537301	0.375643	0.843689
1125:105583-105585	0.900901	1.577287	0.6	0	0	3.225806	4.428288	3.543307	5.655949
1125:105590-105592	0.589971	1.910828	0.804829	0.769231	1.123596	0	4.210526	8.943089	14.705882
1125:105671-105673	2.290076	1.652893	1.666667	1.612903	0	0	5.555556	7.086614	9.859155
1125:105680-105682	0.961538	0	0.617284	0	0	0	5.025126	4.761905	9.047619
1125:105735-105737	0	0	2.083333	0	0	0	0	2.857143	4.761905
1125:105823-105825	0	0	0	0	0	0	0	0	3.571429
1125:105860-105862	0	0	0	0	0	0	0	0	3.571429
1125:105869-105871	1.886792	0	2.469136	0	6.25	0	5.263158	0	0
1125:105890-105892	0	0	0	0	0	0	5.882353	14.705882	12.280702
1125:105897-105899	0	1.515152	0	0	0	0	0	1.526718	0
1125:105978-105980	3.636364	2.564103	0	0	0	0	1.140684	3.225806	0
1125:105987-105989	6	0	3.225806	0	6.25	0	0	0.537634	0
1125:106042-106044	0	0	6.666667	0	0	12.5	0	0	1.136364
113:159717-159719	0	0.980392	0	0	0	6.25	0	3.947368	0
113:159743-159745	1.449275	0.925926	1.041667	0	0	0	0	3.947368	0
113:159749-159751	0	5.555556	0	0	0	0	0	3.947368	0
113:159755-159757	0	4.424779	0	0	0	0	0	8.108108	0
113:159777-159779	1.010101	1.342282	2.702703	2	7.692308	0	0	0	2.040816
113:159868-159870	0	0.97561	0.904977	0	0	2.439024	14.285714	0	0
113:159873-159875	1.351351	0.483092	1.369863	1.219512	0	0	14.285714	0	0
113:159882-159884	0.757576	0.518135	0.5	1.428571	0	0	14.285714	0	0
113:159886-159888	0	0.531915	1.554404	0	2.857143	0	0	0	0
113:159913-159915	0	1.428571	0	0	9.090909	7.692308	0	1.388889	0
113:565449-565451	0	0	11.538462	0	0	0	1.62631	0.279916	0.965981
113:565453-565455	0	0	6.451613	0	0	0	1.951572	0.349895	1.00798
113:565463-565465	5.263158	0	5.882353	0	0	0	2.314647	0.629811	1.05042
113:565477-565479	4.761905	11.111111	8.108108	0	0	0	2.350814	0.489853	1.217976
113:565493-565495	5	0	8.333333	0	0	0	2.205351	0.559832	0.715187
113:802933-802935	6.666667	0	0	0	0	0	1.092896	0.75188	0
113:802963-802965	0	0	0	0	0	0	4.918033	0	0
1131:267343-267345	71.428571	55.555556	50	30	100	40	16.272966	6.747405	28.735632
1131:267387-267389	62.5	43.75	45.833333	38.461538	83.333333	18.181818	12.073491	6.896552	29.501916
1131:267390-267392	66.666667	37.5	48.148148	42.857143	100	0	11.548556	6.735751	29.118774
1131:267402-267404	66.666667	12.5	58.333333	26.666667	83.333333	20	12.894737	5	29.885057
1133:192716-192718	5.714286	60	0	60	20	0	5	0	0
1133:192725-192727	8.823529	66.666667	0	60	40	0	0	0	0
114:1166055-1166057	0.840336	2.366864	0.518135	0	5.882353	0	0	0	17.241379
114:1166057-1166059	0.847458	1.183432	0.520833	0	11.111111	0	0	0	16.666667
114:1166100-1166102	1.574803	2.209945	3.255814	4.761905	0	4.545455	2.631579	11.111111	15
1142:253781-253783	0	0	1.234568	0	0	14.285714	0	0	0
1142:253807-253809	0	0	4.210526	6.666667	0	8.333333	0	0	0
1142:253813-253815	0	0	8.163265	0	0	15.384615	8.333333	0	0
1142:253819-253821	0	2.439024	7.76699	0	7.142857	0	0	0	0
1142:253827-253829	2.12766	0	4.032258	4.347826	0	0	0	0	0
1142:253846-253848	4	3.389831	1.612903	0	0	6.451613	0	0	0
1142:253945-253947	1.333333	0	1.492537	0	0	0	0	0	16.666667
1142:266303-266305	0	0	0	0	0	0	0	1.315789	0
1142:266329-266331	0	0	9.090909	0	0	0	0	0	0
1142:266335-266337	5.555556	10	0	0	0	0	0	0	0
1142:266341-266343	0	0	0	0	0	0	0	0	0
1183:77253-77255	0	0	15.909091	50	0	0	3.030303	0	1.863354
1183:77260-77262	0	0	4.651163	50	0	0	2.770083	0	1.242236
120:662842-662844	39.285714	0	0	0	33.333333	0	10.9375	87.5	13.888889
120:662867-662869	43.478261	0	0	0	27.272727	0	0	0	0.176678
1212:232380-232382	0	0	0	0	20	0	0	1.010101	0
1224:32347-32349	17.647059	30	76.923077	33.333333	80	50	68.888889	56.25	28.947368
1224:32350-32352	50	60	84.615385	30	80	66.666667	80	62.5	47.368421
1224:111034-111036	38.888889	50	44.444444	54.545455	0	42.857143	41.150442	49.206349	35.012594
1224:111040-111042	68.421053	77.777778	50	75	60	71.428571	45.814978	61.904762	56.171285
1224:111048-111050	61.904762	41.666667	52.380952	83.333333	33.333333	100	48.898678	61.507937	57.934509
1224:111059-111061	24	15.384615	19.047619	46.153846	20	71.428571	28.634361	12.698413	15.40404
1224:111067-111069	33.333333	30.769231	50	75	0	80	41.85022	30.952381	33.24937
1224:111076-111078	22.222222	14.285714	35	54.545455	16.666667	33.333333	14.537445	16.666667	11.616162
1224:111083-111085	14.285714	13.333333	19.047619	45.454545	0	57.142857	17.699115	14.68254	12.342569
1224:111130-111132	29.166667	16.666667	35.294118	40	40	60	51.982379	22.222222	36.997319
1224:111137-111139	44.444444	23.076923	52.941176	30	50	80	56.387665	22.4	37.783375
1224:111141-111143	21.052632	30.769231	5.263158	27.272727	16.666667	40	6.60793	12.301587	18.891688
1224:111868-111870	56.25	58.333333	55.555556	100	100	100	62.650602	87.5	36.97479
1224:111879-111881	62.5	75	72.727273	100	100	100	85.542169	82.142857	43.697479
1224:111899-111901	64.705882	53.846154	71.428571	85.714286	71.428571	100	77.108434	85.714286	42.372881
1224:111905-111907	57.894737	50	57.142857	85.714286	100	100	67.901235	85.714286	48.739496
1224:111917-111919	21.052632	38.461538	21.428571	42.857143	100	66.666667	39.759036	69.642857	34.453782
1224:111933-111935	15	37.5	33.333333	50	83.333333	66.666667	51.807229	44.642857	28.571429
1224:111941-111943	21.73913	33.333333	41.176471	45.454545	100	66.666667	56.626506	44.642857	38.135593
1224:111945-111947	37.5	43.75	56.25	54.545455	83.333333	66.666667	69.879518	58.928571	36.206897
1224:111950-111952	29.62963	20	55.555556	27.272727	80	83.333333	55.421687	39.285714	27.731092
1224:111959-111961	30.769231	31.25	26.315789	36.363636	66.666667	33.333333	16.25	39.285714	22.689076
1224:124202-124204	25	50	38.461538	40	42.857143	20	39.655172	40.909091	39.252336
1224:138428-138430	13.333333	47.368421	26.470588	25	37.5	28.571429	14.0625	25	8.786611
1224:138499-138501	43.478261	53.333333	61.538462	20	66.666667	42.857143	56.218905	64.92891	50.305499
1224:138505-138507	48.148148	66.666667	84	33.333333	66.666667	100	70.952381	58.018868	52.095808
1224:138516-138518	4.166667	33.333333	37.5	0	20	50	20.952381	19.811321	8.565737
1224:138634-138636	20	25	0	60	20	28.571429	11.004785	10.377358	6.508876
1224:138642-138644	22.727273	33.333333	25	60	0	83.333333	23.222749	21.226415	8.086785
1224:138675-138677	19.444444	18.181818	30	0	0	0	29.773463	22.291022	10.094637
1224:138688-138690	41.666667	66.666667	63.333333	66.666667	40	44.444444	64.07767	72.136223	38.801262
1224:138696-138698	20.588235	27.777778	28.571429	25	11.111111	22.222222	36.245955	34.055728	22.712934
1224:138707-138709	33.333333	52.631579	44.827586	50	40	55.555556	53.074434	63.157895	37.066246
1224:138712-138714	32.352941	37.5	59.259259	50	22.222222	55.555556	49.350649	46.130031	22.870662
1224:138715-138717	30.30303	50	62.962963	80	22.222222	37.5	57.467532	68.209877	28.548896
1224:138722-138724	41.176471	70.588235	70.37037	80	33.333333	75	60.174419	55.208333	35.868006
1224:138730-138732	22.857143	50	50	60	44.444444	50	57.190635	36.120401	25.585586
1224:138756-138758	2.857143	6.25	11.538462	0	0	14.285714	6.375839	13.087248	5.424955
1224:138802-138804	33.333333	50	39.130435	28.571429	37.5	33.333333	16.778523	23.154362	17.721519
1224:138805-138807	30	46.666667	52.631579	28.571429	80	16.666667	47.398844	52.469136	35.447761
1224:144506-144508	23.076923	23.076923	20.833333	33.333333	40	57.142857	47.058824	48.684211	36.486486
1233:173352-173354	0	0	12.5	0	0	0	0	0	0
1239:235922-235924	0.584795	2.238806	1.694915	0	3.636364	3.846154	0.400633	0.389798	1.197537
1239:235943-235945	0.684932	2.03252	0.380228	0	3.296703	4.545455	0.453371	0.450877	1.318922
1239:235956-235958	0.983607	0.754717	1.413428	1	1.075269	0	0.506356	0.411935	1.212373
1239:235972-235974	3.797468	3.284672	3.146853	1.052632	3.225806	3.846154	0.553476	0.551133	0.88773
1239:236012-236014	1.519757	1.25	1.66205	2.678571	0	0	4.555591	4.05602	4.705679
1239:236049-236051	1.342282	2.12766	0.273224	1.111111	0	0	0.664336	0.567721	0.522673
1239:236102-236104	3.666667	2.5	1.654846	3.061224	1.388889	0	0.367518	0.622126	0.579014
1239:236118-236120	1.045296	1.986755	1.965602	3.092784	0	0	0.436834	0.67659	0.565531
1239:236135-236137	0.687285	1.328904	1.732673	2	4	2.083333	0.611674	0.405296	0.662345
1239:236167-236169	4.545455	3.169014	8.184143	4.651163	1.333333	2.380952	1.015584	0.568182	0.748271
1239:236267-236269	1.73913	1.632653	1.941748	1.612903	2.12766	0	4.003906	4.015339	4.420866
1239:236291-236293	0.77821	1.509434	1.246106	0	0	3.448276	0.432277	0.393424	0.788944
1239:236317-236319	1.435407	0	0.342466	2.739726	1.923077	0	0.521441	0.604102	0.680518
1239:236319-236321	1.142857	0	1.153846	0	0	0	0.404636	0.344198	0.613434
1239:236331-236333	0.497512	0.4329	0.70922	0	0	3.571429	0.417923	0.456172	0.530709
1239:236340-236342	5.025126	1.345291	0.749064	1.282051	2.272727	3.571429	4.056682	3.677333	4.439252
1239:236378-236380	1.960784	0.641026	1.435407	0	5	0	0.593373	0.513971	0.965224
1239:236411-236413	0.478469	0.921659	0.390625	0	0	0	0.459724	0.514885	0.773928
1239:236450-236452	1.123596	1.069519	0.83682	0	0	0	0.567045	0.560957	0.980531
1239:236463-236465	2.469136	1.242236	0.434783	0	0	6.25	0.427065	0.346053	0.965566
1239:236467-236469	1.898734	1.898734	0.444444	0	0	0	0.440646	0.570627	0.859009
1239:236472-236474	1.960784	0.641026	0.442478	1.724138	0	0	0.346829	0.392633	0.780696
1239:236571-236573	3.478261	1.818182	1.290323	0	7.692308	8.333333	3.814542	4.012036	5.02008
1239:236575-236577	0.909091	1.941748	1.290323	0	0	0	0.268998	0.612245	1.240614
1239:236619-236621	1.234568	1.136364	3.125	0	0	0	0.549451	0.630252	1.176086
1239:236640-236642	1.204819	1.098901	1.960784	0	0	11.111111	0.303644	0.625	1.014066
1239:236644-236646	1.190476	2.272727	1.941748	0	0	0	0.101078	0.623701	1.015062
1239:236712-236714	0	2.830189	0	2.380952	0	0	0.373008	0.847458	0.891678
1239:236716-236718	2.803738	1.851852	2.112676	6.666667	0	7.692308	0.271739	1.06383	0.793388
1239:236744-236746	0.806452	0	0.628931	0	0	0	0	0	0.995025
1239:236791-236793	0.684932	0.645161	2.234637	1.538462	0	0	14.285714	0	1.234568
1239:236801-236803	2.068966	0	1.156069	4.918033	5.882353	4.166667	3.703704	0	0.479616
1239:236803-236805	0.675676	0.588235	1.724138	1.612903	0	4.166667	0.358166	0.436681	0.446097
1239:236805-236807	0	1.273885	0.628931	3.174603	0	0	0.610791	0.712589	1.022913
1239:236854-236856	1.574803	2.5	0.766284	1.428571	0	0	0.371747	0.838574	0.845254
1239:236859-236861	1.090909	0.9375	0.346021	1.234568	0	2.272727	0.641458	0.838574	1.008458
1239:236878-236880	0.330033	0.595238	0.302115	1.111111	0	0	0.371496	0	0.520664
1239:236898-236900	0.568182	0.490196	0	0	0	0	0.209351	0.306748	0.518471
1239:236916-236918	0.33557	0.292398	1.253918	0	0	0	0.506073	0.419287	0.908206
1239:236927-236929	1.351351	0.589971	2.848101	0	0	1.886792	0.505732	0.628931	0.648508
1239:236945-236947	1.838235	0.311526	1.880878	0.980392	1.369863	0	4.080146	2.538787	3.832378
1239:236993-236995	1.980198	0.478469	2.016129	0	0	0	0.509005	0	0.491803
1239:236998-237000	0.469484	0.943396	0.401606	0	2.222222	0	0.391543	0	0.533005
1239:237011-237013	3.345725	1.167315	0	0	0	2.272727	0.392003	0.588235	0.696721
1239:237053-237055	4.455446	1.092896	1.960784	2.531646	4.651163	4.761905	1.01841	0.207039	0.550614
1239:237078-237080	1.731602	1.388889	1.526718	1.369863	2.380952	0	0.668765	0	0.373289
1239:237088-237090	0.444444	0.943396	0.387597	0	2.5	0	0.628437	0	0.372825
1239:237090-237092	1.304348	3.286385	1.149425	0	0	0	0.786473	0.826446	0.456053
1239:237175-237177	0.913242	1.098901	1.181102	3.636364	0	0	0.397	1.037344	1.040799
1239:237264-237266	0	0	0.727273	2.739726	0	2.857143	0.483729	1.840491	1.198842
1239:237300-237302	0.913242	0.995025	2.491103	0	0	0	0.743982	3.012048	2.010669
1239:237306-237308	2.816901	2.314815	1.760563	2.631579	0	7.142857	9.918699	38.80597	13.295211
1239:237350-237352	1.327434	1.851852	1.552795	0	9.52381	2.5	0.306122	0.631912	0.582043
1239:237355-237357	0.458716	1.851852	2.492212	0	9.677419	0	0.578526	0.386236	0.408618
1239:237368-237370	2.192982	0.714286	1.780415	2.272727	0	0	3.320279	2.620471	2.55488
1239:237436-237438	0.775194	0.949367	1.336898	1.869159	2.857143	5.263158	7.142857	0	0
1239:237460-237462	2.631579	0.315457	1.412429	0.943396	0	0	7.142857	0	0
124:1085396-1085398	3.846154	0	0	5.263158	0	0	0	0	11.764706
124:1085428-1085430	1.639344	7.692308	10.526316	5.882353	0	0	0	0	5.882353
124:1085434-1085436	1.612903	7.54717	7.894737	5.555556	0	0	0	0	5.882353
124:1085453-1085455	3.614458	2.941176	4.255319	7.407407	3.571429	0	0	0	5.882353
1248:92175-92177	0	0	2.564103	0	0	0	0.181818	0.660066	0.818331
1248:92193-92195	0	2.631579	1.470588	0	0	9.090909	2.424242	6.842105	4.712042
1249:26764-26766	0	5.555556	3.571429	0	0	0	0	0	0
1249:26766-26768	0	0	3.448276	0	0	0	0	0	0
1249:100984-100986	0	0	3.125	0	0	0	1.576182	0.177936	0.416089
1249:100993-100995	0	0	8.108108	0	0	0	4.409673	4.166667	5.506608
1249:102226-102228	9.090909	0	0	0	0	0	0.461361	0.437637	0.944386
1249:102229-102231	0	0	2.941176	0	12.5	0	0.578035	0	1.259182
1249:102242-102244	6.25	0	0	0	12.5	0	0.11534	0.877193	1.049318
1249:102248-102250	0	0	3.125	0	0	0	4.00641	2.912621	5.816832
1249:102275-102277	0	0	0	0	16.666667	0	0	0	1.386139
1249:120792-120794	0	0	6.25	0	12.5	0	3.061224	0	0
1249:120831-120833	0	0	0	0	0	0	0.854701	2.040816	0
1249:121586-121588	0	0	0	0	0	0	8.831169	3.012048	1.311475
125:127462-127464	0	0	5.263158	0	0	0	0.471698	0.980392	1.953125
125:127496-127498	0	0	0	0	20	0	0	0	0.784314
125:127532-127534	0	7.692308	8.333333	0	0	0	1.470588	0	2.487562
125:127539-127541	0	0	0	0	12.5	0	0	0	1.5625
125:381638-381640	0	0	0	0	0	0	0	11.111111	1.403
125:381651-381653	0	0	0	0	0	0	0	22.222222	1.40266
125:381670-381672	0	2.272727	0	0	0	0	0	22.222222	1.499395
125:381680-381682	0	2.5	0	0	0	0	0	25	1.292368
125:381712-381714	0	2.702703	3.225806	0	0	0	8.333333	37.5	0.943624
1250:11749-11751	62.5	81.818182	50	28.571429	20	20	0	0	2.631579
1253:69676-69678	3.571429	6.666667	4.761905	0	0	0	5.636743	3.327338	4.143126
1253:69680-69682	0	3.333333	2.380952	0	0	0	0.944138	0.334946	1.322199
1253:69682-69684	0	0	4.347826	5.555556	0	0	0.786782	0.29773	1.253482
1253:69711-69713	0	0	0	5.555556	0	0	1.016419	0.521415	0.904662
1253:69730-69732	0	1.351351	0	0	0	0	0.468019	0.781832	0.487126
1253:69744-69746	2.325581	0	0	5.263158	0	0	0.233827	0.372301	0.626305
1260:61612-61614	12.5	4.347826	11.111111	0	0	0	0	0.675676	2.5
1279:61954-61956	5.263158	0	0	0	0	0	29.411765	70.588235	50
1279:61962-61964	0	0	0	0	0	0	0.204918	0.158983	0.616333
1279:61967-61969	0	0	0	0	0	0	0	0	0.769231
1279:61971-61973	0	0	0	0	0	0	0.204499	0	0.461538
1279:61975-61977	0	11.111111	0	0	20	0	0	0	0.461538
1279:61985-61987	5.263158	0	8.333333	0	0	10	0.817996	0.158983	0.461538
128:1047482-1047484	0	18.181818	16.666667	22.222222	11.111111	14.285714	46.411483	31.578947	38.181818
128:1047570-1047572	0	14.285714	7.142857	33.333333	20	40	66.995074	55.940594	64.375
128:1047574-1047576	0	14.285714	12.5	0	11.111111	33.333333	69.101124	66.666667	72.222222
128:1047588-1047590	0	12.5	0	0	12.5	40	68.156425	55.072464	70.634921
128:1047596-1047598	0	12.5	6.25	0	0	40	66.480447	62.5	65.873016
128:1047598-1047600	0	25	0	0	12.5	40	71.751412	60.144928	80.8
129:39852-39854	0	1.851852	0.952381	0	0	0	0	0	0
129:39874-39876	0	1.086957	2.312139	0	2.12766	0	0	0	0
129:39904-39906	1.744186	2.5	0.985222	0	0	0	0	0	0
129:39947-39949	1.953125	1.935484	1.476015	0	0	1.639344	0	0	0
129:39957-39959	1.568627	0.49505	0.626959	3.636364	0	0	0	0	0
129:40283-40285	0	0	1.769912	0	0	0	0	0	18.75
129:40300-40302	0	0	1.574803	0	0	0	0	0	16.666667
129:40393-40395	0	3.571429	0	0	0	0	0	0	0
129:565798-565800	5.555556	0	0	0	0	0	0.860215	0	0.20284
1291:212519-212521	41.37931	32	77.777778	26.666667	80	75	86.956522	9.589041	60
