WGBS_1	WGBS_2	WGBS_3	RRBS_1	RRBS_2	RRBS_3	MBDBS_1	MBDBS_2	MBDBS_3
1125:105860-105862	0	0	0	0	0	3.571429	0	0	0
1125:105869-105871	1.886792	0	2.469136	5.263158	0	0	0	6.25	0
1125:105890-105892	0	0	0	5.882353	14.705882	12.280702	0	0	0
1125:105897-105899	0	1.515152	0	0	1.526718	0	0	0	0
1125:105978-105980	3.636364	2.564103	0	1.140684	3.225806	0	0	0	0
1125:105987-105989	6	0	3.225806	0	0.537634	0	0	6.25	0
1125:106042-106044	0	0	6.666667	0	0	1.136364	0	0	12.5
113:159717-159719	0	0.980392	0	0	3.947368	0	0	0	6.25
113:159743-159745	1.449275	0.925926	1.041667	0	3.947368	0	0	0	0
113:159749-159751	0	5.555556	0	0	3.947368	0	0	0	0
113:159755-159757	0	4.424779	0	0	8.108108	0	0	0	0
113:159777-159779	1.010101	1.342282	2.702703	0	0	2.040816	2	7.692308	0
113:159868-159870	0	0.97561	0.904977	14.285714	0	0	0	0	2.439024
113:159873-159875	1.351351	0.483092	1.369863	14.285714	0	0	1.219512	0	0
113:159882-159884	0.757576	0.518135	0.5	14.285714	0	0	1.428571	0	0
113:159886-159888	0	0.531915	1.554404	0	0	0	0	2.857143	0
113:159913-159915	0	1.428571	0	0	1.388889	0	0	9.090909	7.692308
113:565449-565451	0	0	11.538462	1.62631	0.279916	0.965981	0	0	0
113:565453-565455	0	0	6.451613	1.951572	0.349895	1.00798	0	0	0
113:565463-565465	5.263158	0	5.882353	2.314647	0.629811	1.05042	0	0	0
113:565477-565479	4.761905	11.111111	8.108108	2.350814	0.489853	1.217976	0	0	0
113:565493-565495	5	0	8.333333	2.205351	0.559832	0.715187	0	0	0
113:802933-802935	6.666667	0	0	1.092896	0.75188	0	0	0	0
113:802963-802965	0	0	0	4.918033	0	0	0	0	0
1131:267343-267345	71.428571	55.555556	50	16.272966	6.747405	28.735632	30	100	40
1131:267387-267389	62.5	43.75	45.833333	12.073491	6.896552	29.501916	38.461538	83.333333	18.181818
1131:267390-267392	66.666667	37.5	48.148148	11.548556	6.735751	29.118774	42.857143	100	0
1131:267402-267404	66.666667	12.5	58.333333	12.894737	5	29.885057	26.666667	83.333333	20
1133:192716-192718	5.714286	60	0	5	0	0	60	20	0
1133:192725-192727	8.823529	66.666667	0	0	0	0	60	40	0
114:1166055-1166057	0.840336	2.366864	0.518135	0	0	17.241379	0	5.882353	0
114:1166057-1166059	0.847458	1.183432	0.520833	0	0	16.666667	0	11.111111	0
114:1166100-1166102	1.574803	2.209945	3.255814	2.631579	11.111111	15	4.761905	0	4.545455
1142:253781-253783	0	0	1.234568	0	0	0	0	0	14.285714
1142:253807-253809	0	0	4.210526	0	0	0	6.666667	0	8.333333
1142:253813-253815	0	0	8.163265	8.333333	0	0	0	0	15.384615
1142:253819-253821	0	2.439024	7.76699	0	0	0	0	7.142857	0
1142:253827-253829	2.12766	0	4.032258	0	0	0	4.347826	0	0
1142:253846-253848	4	3.389831	1.612903	0	0	0	0	0	6.451613
1142:253945-253947	1.333333	0	1.492537	0	0	16.666667	0	0	0
1142:266303-266305	0	0	0	0	1.315789	0	0	0	0
1142:266329-266331	0	0	9.090909	0	0	0	0	0	0
1142:266335-266337	5.555556	10	0	0	0	0	0	0	0
1142:266341-266343	0	0	0	0	0	0	0	0	0
1183:77253-77255	0	0	15.909091	3.030303	0	1.863354	50	0	0
1183:77260-77262	0	0	4.651163	2.770083	0	1.242236	50	0	0
120:662842-662844	39.285714	0	0	10.9375	87.5	13.888889	0	33.333333	0
120:662867-662869	43.478261	0	0	0	0	0.176678	0	27.272727	0
1212:232380-232382	0	0	0	0	1.010101	0	0	20	0
1224:32347-32349	17.647059	30	76.923077	68.888889	56.25	28.947368	33.333333	80	50
1224:32350-32352	50	60	84.615385	80	62.5	47.368421	30	80	66.666667
1224:111034-111036	38.888889	50	44.444444	41.150442	49.206349	35.012594	54.545455	0	42.857143
1224:111040-111042	68.421053	77.777778	50	45.814978	61.904762	56.171285	75	60	71.428571
1224:111048-111050	61.904762	41.666667	52.380952	48.898678	61.507937	57.934509	83.333333	33.333333	100
1224:111059-111061	24	15.384615	19.047619	28.634361	12.698413	15.40404	46.153846	20	71.428571
1224:111067-111069	33.333333	30.769231	50	41.85022	30.952381	33.24937	75	0	80
1224:111076-111078	22.222222	14.285714	35	14.537445	16.666667	11.616162	54.545455	16.666667	33.333333
1224:111083-111085	14.285714	13.333333	19.047619	17.699115	14.68254	12.342569	45.454545	0	57.142857
1224:111130-111132	29.166667	16.666667	35.294118	51.982379	22.222222	36.997319	40	40	60
1224:111137-111139	44.444444	23.076923	52.941176	56.387665	22.4	37.783375	30	50	80
1224:111141-111143	21.052632	30.769231	5.263158	6.60793	12.301587	18.891688	27.272727	16.666667	40
1224:111868-111870	56.25	58.333333	55.555556	62.650602	87.5	36.97479	100	100	100
1224:111879-111881	62.5	75	72.727273	85.542169	82.142857	43.697479	100	100	100
1224:111899-111901	64.705882	53.846154	71.428571	77.108434	85.714286	42.372881	85.714286	71.428571	100
1224:111905-111907	57.894737	50	57.142857	67.901235	85.714286	48.739496	85.714286	100	100
1224:111917-111919	21.052632	38.461538	21.428571	39.759036	69.642857	34.453782	42.857143	100	66.666667
1224:111933-111935	15	37.5	33.333333	51.807229	44.642857	28.571429	50	83.333333	66.666667
1224:111941-111943	21.73913	33.333333	41.176471	56.626506	44.642857	38.135593	45.454545	100	66.666667
1224:111945-111947	37.5	43.75	56.25	69.879518	58.928571	36.206897	54.545455	83.333333	66.666667
1224:111950-111952	29.62963	20	55.555556	55.421687	39.285714	27.731092	27.272727	80	83.333333
1224:111959-111961	30.769231	31.25	26.315789	16.25	39.285714	22.689076	36.363636	66.666667	33.333333
1224:124202-124204	25	50	38.461538	39.655172	40.909091	39.252336	40	42.857143	20
1224:138428-138430	13.333333	47.368421	26.470588	14.0625	25	8.786611	25	37.5	28.571429
1224:138499-138501	43.478261	53.333333	61.538462	56.218905	64.92891	50.305499	20	66.666667	42.857143
1224:138505-138507	48.148148	66.666667	84	70.952381	58.018868	52.095808	33.333333	66.666667	100
1224:138516-138518	4.166667	33.333333	37.5	20.952381	19.811321	8.565737	0	20	50
1224:138634-138636	20	25	0	11.004785	10.377358	6.508876	60	20	28.571429
1224:138642-138644	22.727273	33.333333	25	23.222749	21.226415	8.086785	60	0	83.333333
1224:138675-138677	19.444444	18.181818	30	29.773463	22.291022	10.094637	0	0	0
1224:138688-138690	41.666667	66.666667	63.333333	64.07767	72.136223	38.801262	66.666667	40	44.444444
1224:138696-138698	20.588235	27.777778	28.571429	36.245955	34.055728	22.712934	25	11.111111	22.222222
1224:138707-138709	33.333333	52.631579	44.827586	53.074434	63.157895	37.066246	50	40	55.555556
1224:138712-138714	32.352941	37.5	59.259259	49.350649	46.130031	22.870662	50	22.222222	55.555556
1224:138715-138717	30.30303	50	62.962963	57.467532	68.209877	28.548896	80	22.222222	37.5
1224:138722-138724	41.176471	70.588235	70.37037	60.174419	55.208333	35.868006	80	33.333333	75
1224:138730-138732	22.857143	50	50	57.190635	36.120401	25.585586	60	44.444444	50
1224:138756-138758	2.857143	6.25	11.538462	6.375839	13.087248	5.424955	0	0	14.285714
1224:138802-138804	33.333333	50	39.130435	16.778523	23.154362	17.721519	28.571429	37.5	33.333333
1224:138805-138807	30	46.666667	52.631579	47.398844	52.469136	35.447761	28.571429	80	16.666667
1224:144506-144508	23.076923	23.076923	20.833333	47.058824	48.684211	36.486486	33.333333	40	57.142857
1233:173352-173354	0	0	12.5	0	0	0	0	0	0
1239:235922-235924	0.584795	2.238806	1.694915	0.400633	0.389798	1.197537	0	3.636364	3.846154
1239:235943-235945	0.684932	2.03252	0.380228	0.453371	0.450877	1.318922	0	3.296703	4.545455
1239:235956-235958	0.983607	0.754717	1.413428	0.506356	0.411935	1.212373	1	1.075269	0
1239:235972-235974	3.797468	3.284672	3.146853	0.553476	0.551133	0.88773	1.052632	3.225806	3.846154
1239:236012-236014	1.519757	1.25	1.66205	4.555591	4.05602	4.705679	2.678571	0	0
1239:236049-236051	1.342282	2.12766	0.273224	0.664336	0.567721	0.522673	1.111111	0	0
1239:236102-236104	3.666667	2.5	1.654846	0.367518	0.622126	0.579014	3.061224	1.388889	0
1239:236118-236120	1.045296	1.986755	1.965602	0.436834	0.67659	0.565531	3.092784	0	0
1239:236135-236137	0.687285	1.328904	1.732673	0.611674	0.405296	0.662345	2	4	2.083333
1239:236167-236169	4.545455	3.169014	8.184143	1.015584	0.568182	0.748271	4.651163	1.333333	2.380952
1239:236267-236269	1.73913	1.632653	1.941748	4.003906	4.015339	4.420866	1.612903	2.12766	0
1239:236291-236293	0.77821	1.509434	1.246106	0.432277	0.393424	0.788944	0	0	3.448276
1239:236317-236319	1.435407	0	0.342466	0.521441	0.604102	0.680518	2.739726	1.923077	0
1239:236319-236321	1.142857	0	1.153846	0.404636	0.344198	0.613434	0	0	0
1239:236331-236333	0.497512	0.4329	0.70922	0.417923	0.456172	0.530709	0	0	3.571429
1239:236340-236342	5.025126	1.345291	0.749064	4.056682	3.677333	4.439252	1.282051	2.272727	3.571429
1239:236378-236380	1.960784	0.641026	1.435407	0.593373	0.513971	0.965224	0	5	0
1239:236411-236413	0.478469	0.921659	0.390625	0.459724	0.514885	0.773928	0	0	0
1239:236450-236452	1.123596	1.069519	0.83682	0.567045	0.560957	0.980531	0	0	0
1239:236463-236465	2.469136	1.242236	0.434783	0.427065	0.346053	0.965566	0	0	6.25
1239:236467-236469	1.898734	1.898734	0.444444	0.440646	0.570627	0.859009	0	0	0
1239:236472-236474	1.960784	0.641026	0.442478	0.346829	0.392633	0.780696	1.724138	0	0
1239:236571-236573	3.478261	1.818182	1.290323	3.814542	4.012036	5.02008	0	7.692308	8.333333
1239:236575-236577	0.909091	1.941748	1.290323	0.268998	0.612245	1.240614	0	0	0
1239:236619-236621	1.234568	1.136364	3.125	0.549451	0.630252	1.176086	0	0	0
1239:236640-236642	1.204819	1.098901	1.960784	0.303644	0.625	1.014066	0	0	11.111111
1239:236644-236646	1.190476	2.272727	1.941748	0.101078	0.623701	1.015062	0	0	0
1239:236712-236714	0	2.830189	0	0.373008	0.847458	0.891678	2.380952	0	0
1239:236716-236718	2.803738	1.851852	2.112676	0.271739	1.06383	0.793388	6.666667	0	7.692308
1239:236744-236746	0.806452	0	0.628931	0	0	0.995025	0	0	0
1239:236791-236793	0.684932	0.645161	2.234637	14.285714	0	1.234568	1.538462	0	0
1239:236801-236803	2.068966	0	1.156069	3.703704	0	0.479616	4.918033	5.882353	4.166667
1239:236803-236805	0.675676	0.588235	1.724138	0.358166	0.436681	0.446097	1.612903	0	4.166667
1239:236805-236807	0	1.273885	0.628931	0.610791	0.712589	1.022913	3.174603	0	0
1239:236854-236856	1.574803	2.5	0.766284	0.371747	0.838574	0.845254	1.428571	0	0
1239:236859-236861	1.090909	0.9375	0.346021	0.641458	0.838574	1.008458	1.234568	0	2.272727
1239:236878-236880	0.330033	0.595238	0.302115	0.371496	0	0.520664	1.111111	0	0
1239:236898-236900	0.568182	0.490196	0	0.209351	0.306748	0.518471	0	0	0
1239:236916-236918	0.33557	0.292398	1.253918	0.506073	0.419287	0.908206	0	0	0
1239:236927-236929	1.351351	0.589971	2.848101	0.505732	0.628931	0.648508	0	0	1.886792
1239:236945-236947	1.838235	0.311526	1.880878	4.080146	2.538787	3.832378	0.980392	1.369863	0
1239:236993-236995	1.980198	0.478469	2.016129	0.509005	0	0.491803	0	0	0
1239:236998-237000	0.469484	0.943396	0.401606	0.391543	0	0.533005	0	2.222222	0
1239:237011-237013	3.345725	1.167315	0	0.392003	0.588235	0.696721	0	0	2.272727
1239:237053-237055	4.455446	1.092896	1.960784	1.01841	0.207039	0.550614	2.531646	4.651163	4.761905
1239:237078-237080	1.731602	1.388889	1.526718	0.668765	0	0.373289	1.369863	2.380952	0
1239:237088-237090	0.444444	0.943396	0.387597	0.628437	0	0.372825	0	2.5	0
1239:237090-237092	1.304348	3.286385	1.149425	0.786473	0.826446	0.456053	0	0	0
1239:237175-237177	0.913242	1.098901	1.181102	0.397	1.037344	1.040799	3.636364	0	0
1239:237264-237266	0	0	0.727273	0.483729	1.840491	1.198842	2.739726	0	2.857143
1239:237300-237302	0.913242	0.995025	2.491103	0.743982	3.012048	2.010669	0	0	0
1239:237306-237308	2.816901	2.314815	1.760563	9.918699	38.80597	13.295211	2.631579	0	7.142857
1239:237350-237352	1.327434	1.851852	1.552795	0.306122	0.631912	0.582043	0	9.52381	2.5
1239:237355-237357	0.458716	1.851852	2.492212	0.578526	0.386236	0.408618	0	9.677419	0
1239:237368-237370	2.192982	0.714286	1.780415	3.320279	2.620471	2.55488	2.272727	0	0
1239:237436-237438	0.775194	0.949367	1.336898	7.142857	0	0	1.869159	2.857143	5.263158
1239:237460-237462	2.631579	0.315457	1.412429	7.142857	0	0	0.943396	0	0
124:1085396-1085398	3.846154	0	0	0	0	11.764706	5.263158	0	0
124:1085428-1085430	1.639344	7.692308	10.526316	0	0	5.882353	5.882353	0	0
124:1085434-1085436	1.612903	7.54717	7.894737	0	0	5.882353	5.555556	0	0
124:1085453-1085455	3.614458	2.941176	4.255319	0	0	5.882353	7.407407	3.571429	0
1248:92175-92177	0	0	2.564103	0.181818	0.660066	0.818331	0	0	0
1248:92193-92195	0	2.631579	1.470588	2.424242	6.842105	4.712042	0	0	9.090909
1249:26764-26766	0	5.555556	3.571429	0	0	0	0	0	0
1249:26766-26768	0	0	3.448276	0	0	0	0	0	0
1249:100984-100986	0	0	3.125	1.576182	0.177936	0.416089	0	0	0
1249:100993-100995	0	0	8.108108	4.409673	4.166667	5.506608	0	0	0
1249:102226-102228	9.090909	0	0	0.461361	0.437637	0.944386	0	0	0
1249:102229-102231	0	0	2.941176	0.578035	0	1.259182	0	12.5	0
1249:102242-102244	6.25	0	0	0.11534	0.877193	1.049318	0	12.5	0
1249:102248-102250	0	0	3.125	4.00641	2.912621	5.816832	0	0	0
1249:102275-102277	0	0	0	0	0	1.386139	0	16.666667	0
1249:120792-120794	0	0	6.25	3.061224	0	0	0	12.5	0
1249:120831-120833	0	0	0	0.854701	2.040816	0	0	0	0
1249:121586-121588	0	0	0	8.831169	3.012048	1.311475	0	0	0
125:127462-127464	0	0	5.263158	0.471698	0.980392	1.953125	0	0	0
125:127496-127498	0	0	0	0	0	0.784314	0	20	0
125:127532-127534	0	7.692308	8.333333	1.470588	0	2.487562	0	0	0
125:127539-127541	0	0	0	0	0	1.5625	0	12.5	0
125:381638-381640	0	0	0	0	11.111111	1.403	0	0	0
125:381651-381653	0	0	0	0	22.222222	1.40266	0	0	0
125:381670-381672	0	2.272727	0	0	22.222222	1.499395	0	0	0
125:381680-381682	0	2.5	0	0	25	1.292368	0	0	0
125:381712-381714	0	2.702703	3.225806	8.333333	37.5	0.943624	0	0	0
1250:11749-11751	62.5	81.818182	50	0	0	2.631579	28.571429	20	20
1253:69676-69678	3.571429	6.666667	4.761905	5.636743	3.327338	4.143126	0	0	0
1253:69680-69682	0	3.333333	2.380952	0.944138	0.334946	1.322199	0	0	0
1253:69682-69684	0	0	4.347826	0.786782	0.29773	1.253482	5.555556	0	0
1253:69711-69713	0	0	0	1.016419	0.521415	0.904662	5.555556	0	0
1253:69730-69732	0	1.351351	0	0.468019	0.781832	0.487126	0	0	0
1253:69744-69746	2.325581	0	0	0.233827	0.372301	0.626305	5.263158	0	0
1260:61612-61614	12.5	4.347826	11.111111	0	0.675676	2.5	0	0	0
1279:61954-61956	5.263158	0	0	29.411765	70.588235	50	0	0	0
1279:61962-61964	0	0	0	0.204918	0.158983	0.616333	0	0	0
1279:61967-61969	0	0	0	0	0	0.769231	0	0	0
1279:61971-61973	0	0	0	0.204499	0	0.461538	0	0	0
1279:61975-61977	0	11.111111	0	0	0	0.461538	0	20	0
1279:61985-61987	5.263158	0	8.333333	0.817996	0.158983	0.461538	0	0	10
128:1047482-1047484	0	18.181818	16.666667	46.411483	31.578947	38.181818	22.222222	11.111111	14.285714
128:1047570-1047572	0	14.285714	7.142857	66.995074	55.940594	64.375	33.333333	20	40
128:1047574-1047576	0	14.285714	12.5	69.101124	66.666667	72.222222	0	11.111111	33.333333
128:1047588-1047590	0	12.5	0	68.156425	55.072464	70.634921	0	12.5	40
128:1047596-1047598	0	12.5	6.25	66.480447	62.5	65.873016	0	0	40
128:1047598-1047600	0	25	0	71.751412	60.144928	80.8	0	12.5	40
129:39852-39854	0	1.851852	0.952381	0	0	0	0	0	0
129:39874-39876	0	1.086957	2.312139	0	0	0	0	2.12766	0
129:39904-39906	1.744186	2.5	0.985222	0	0	0	0	0	0
129:39947-39949	1.953125	1.935484	1.476015	0	0	0	0	0	1.639344
129:39957-39959	1.568627	0.49505	0.626959	0	0	0	3.636364	0	0
129:40283-40285	0	0	1.769912	0	0	18.75	0	0	0
129:40300-40302	0	0	1.574803	0	0	16.666667	0	0	0
129:40393-40395	0	3.571429	0	0	0	0	0	0	0
129:565798-565800	5.555556	0	0	0.860215	0	0.20284	0	0	0
1291:212519-212521	41.37931	32	77.777778	86.956522	9.589041	60	26.666667	80	75
1291:212549-212551	33.333333	34.375	70	89.583333	12.937063	20	50	80	88.235294
