Orthogroup	Mcap.protein	Pocillopora_acuta_protein	Total
OG0000154	2	12	14
OG0000155	13	1	14
OG0000156	4	10	14
OG0000157	12	2	14
OG0000158	14	0	14
OG0000159	12	2	14
OG0000160	13	1	14
OG0000161	2	12	14
OG0000162	2	12	14
OG0000163	2	12	14
OG0000164	3	11	14
OG0000165	2	12	14
OG0000166	2	12	14
OG0000167	1	13	14
OG0000168	0	14	14
OG0000169	12	1	13
OG0000170	12	1	13
OG0000171	11	2	13
OG0000172	5	8	13
OG0000173	2	11	13
OG0000174	2	11	13
OG0000175	11	2	13
OG0000176	12	1	13
OG0000177	13	0	13
OG0000178	4	9	13
OG0000179	13	0	13
OG0000180	13	0	13
OG0000181	2	11	13
OG0000182	13	0	13
OG0000183	11	2	13
OG0000184	8	5	13
OG0000185	12	1	13
OG0000186	11	2	13
OG0000187	2	11	13
OG0000188	2	11	13
OG0000189	5	8	13
OG0000190	10	3	13
OG0000191	1	12	13
OG0000192	2	11	13
OG0000193	1	12	13
OG0000194	2	11	13
OG0000195	1	12	13
OG0000196	0	13	13
OG0000197	12	0	12
OG0000198	10	2	12
OG0000199	12	0	12
OG0000200	12	0	12
OG0000201	1	11	12
OG0000202	10	2	12
OG0000203	5	7	12
OG0000204	11	1	12
OG0000205	2	10	12
OG0000206	6	6	12
OG0000207	9	3	12
OG0000208	6	6	12
OG0000209	6	6	12
OG0000210	11	1	12
OG0000211	9	3	12
OG0000212	9	3	12
OG0000213	3	9	12
OG0000214	11	1	12
OG0000215	11	1	12
OG0000216	6	6	12
OG0000217	11	1	12
OG0000218	4	8	12
OG0000219	9	3	12
OG0000220	12	0	12
OG0000221	11	1	12
OG0000222	11	1	12
OG0000223	10	2	12
OG0000224	10	2	12
OG0000225	1	11	12
OG0000226	2	10	12
OG0000227	2	10	12
OG0000228	1	11	12
OG0000229	1	11	12
OG0000230	2	10	12
OG0000231	3	9	12
OG0000232	1	11	12
OG0000233	1	11	12
OG0000234	1	11	12
OG0000235	0	12	12
OG0000236	0	12	12
OG0000237	0	12	12
OG0000238	0	12	12
OG0000239	0	12	12
OG0000240	0	12	12
OG0000241	9	2	11
OG0000242	5	6	11
OG0000243	4	7	11
OG0000244	3	8	11
OG0000245	10	1	11
OG0000246	5	6	11
OG0000247	7	4	11
OG0000248	9	2	11
OG0000249	1	10	11
OG0000250	10	1	11
OG0000251	11	0	11
OG0000252	9	2	11
OG0000253	9	2	11
OG0000254	8	3	11
OG0000255	11	0	11
OG0000256	11	0	11
OG0000257	5	6	11
OG0000258	1	10	11
OG0000259	10	1	11
OG0000260	9	2	11
OG0000261	9	2	11
OG0000262	10	1	11
OG0000263	9	2	11
OG0000264	10	1	11
OG0000265	11	0	11
OG0000266	8	3	11
OG0000267	7	4	11
OG0000268	7	4	11
OG0000269	8	3	11
OG0000270	4	7	11
OG0000271	10	1	11
OG0000272	3	8	11
OG0000273	11	0	11
OG0000274	9	2	11
OG0000275	11	0	11
OG0000276	3	8	11
OG0000277	8	3	11
OG0000278	4	7	11
OG0000279	1	10	11
OG0000280	2	9	11
OG0000281	2	9	11
OG0000282	1	10	11
OG0000283	1	10	11
OG0000284	1	10	11
OG0000285	1	10	11
OG0000286	0	11	11
OG0000287	8	2	10
OG0000288	9	1	10
OG0000289	5	5	10
OG0000290	5	5	10
OG0000291	3	7	10
OG0000292	10	0	10
OG0000293	9	1	10
OG0000294	2	8	10
OG0000295	8	2	10
OG0000296	6	4	10
OG0000297	3	7	10
OG0000298	7	3	10
OG0000299	7	3	10
OG0000300	9	1	10
OG0000301	2	8	10
OG0000302	9	1	10
OG0000303	6	4	10
OG0000304	7	3	10
OG0000305	9	1	10
OG0000306	8	2	10
OG0000307	9	1	10
OG0000308	8	2	10
OG0000309	5	5	10
OG0000310	10	0	10
OG0000311	4	6	10
OG0000312	1	9	10
OG0000313	7	3	10
OG0000314	5	5	10
OG0000315	7	3	10
OG0000316	8	2	10
OG0000317	6	4	10
OG0000318	4	6	10
OG0000319	8	2	10
OG0000320	4	6	10
OG0000321	10	0	10
OG0000322	8	2	10
OG0000323	10	0	10
OG0000324	1	9	10
OG0000325	10	0	10
OG0000326	7	3	10
OG0000327	2	8	10
OG0000328	2	8	10
OG0000329	9	1	10
OG0000330	7	3	10
OG0000331	9	1	10
OG0000332	3	7	10
OG0000333	1	9	10
OG0000334	1	9	10
OG0000335	2	8	10
OG0000336	6	4	10
OG0000337	3	7	10
OG0000338	4	6	10
OG0000339	7	3	10
OG0000340	8	2	10
OG0000341	4	6	10
OG0000342	1	9	10
OG0000343	1	9	10
OG0000344	1	9	10
OG0000345	3	7	10
OG0000346	2	8	10
OG0000347	2	8	10
OG0000348	2	8	10
OG0000349	2	8	10
OG0000350	2	8	10
OG0000351	1	9	10
OG0000352	9	1	10
OG0000353	0	10	10
OG0000354	0	10	10
OG0000355	0	10	10
OG0000356	0	10	10
OG0000357	0	10	10
OG0000358	4	5	9
OG0000359	1	8	9
OG0000360	6	3	9
OG0000361	5	4	9
OG0000362	7	2	9
OG0000363	4	5	9
OG0000364	6	3	9
OG0000365	7	2	9
OG0000366	7	2	9
OG0000367	4	5	9
OG0000368	8	1	9
OG0000369	4	5	9
OG0000370	9	0	9
OG0000371	6	3	9
OG0000372	1	8	9
OG0000373	3	6	9
OG0000374	6	3	9
OG0000375	7	2	9
OG0000376	7	2	9
OG0000377	9	0	9
OG0000378	8	1	9
OG0000379	8	1	9
OG0000380	9	0	9
OG0000381	9	0	9
OG0000382	8	1	9
OG0000383	7	2	9
OG0000384	3	6	9
OG0000385	9	0	9
OG0000386	6	3	9
OG0000387	7	2	9
OG0000388	5	4	9
OG0000389	1	8	9
OG0000390	8	1	9
OG0000391	2	7	9
OG0000392	4	5	9
OG0000393	6	3	9
OG0000394	5	4	9
OG0000395	8	1	9
OG0000396	8	1	9
OG0000397	4	5	9
OG0000398	9	0	9
OG0000399	8	1	9
OG0000400	5	4	9
OG0000401	4	5	9
OG0000402	6	3	9
OG0000403	6	3	9
OG0000404	4	5	9
OG0000405	8	1	9
OG0000406	4	5	9
OG0000407	8	1	9
OG0000408	6	3	9
OG0000409	5	4	9
OG0000410	1	8	9
OG0000411	2	7	9
OG0000412	5	4	9
OG0000413	4	5	9
OG0000414	3	6	9
OG0000415	4	5	9
OG0000416	5	4	9
OG0000417	7	2	9
OG0000418	1	8	9
OG0000419	4	5	9
OG0000420	1	8	9
OG0000421	1	8	9
OG0000422	5	4	9
OG0000423	4	5	9
OG0000424	1	8	9
OG0000425	2	7	9
OG0000426	1	8	9
OG0000427	2	7	9
OG0000428	1	8	9
OG0000429	1	8	9
OG0000430	1	8	9
OG0000431	3	6	9
OG0000432	1	8	9
OG0000433	1	8	9
OG0000434	1	8	9
OG0000435	1	8	9
OG0000436	2	7	9
OG0000437	1	8	9
OG0000438	0	9	9
OG0000439	0	9	9
OG0000440	0	9	9
OG0000441	0	9	9
OG0000442	0	9	9
OG0000443	6	2	8
OG0000444	7	1	8
OG0000445	2	6	8
OG0000446	2	6	8
OG0000447	4	4	8
OG0000448	6	2	8
OG0000449	2	6	8
OG0000450	1	7	8
OG0000451	5	3	8
OG0000452	8	0	8
OG0000453	6	2	8
OG0000454	6	2	8
OG0000455	1	7	8
OG0000456	5	3	8
OG0000457	5	3	8
OG0000458	3	5	8
OG0000459	7	1	8
OG0000460	7	1	8
OG0000461	5	3	8
OG0000462	3	5	8
OG0000463	7	1	8
OG0000464	7	1	8
OG0000465	6	2	8
OG0000466	7	1	8
OG0000467	1	7	8
OG0000468	5	3	8
OG0000469	7	1	8
OG0000470	6	2	8
OG0000471	2	6	8
OG0000472	2	6	8
OG0000473	1	7	8
OG0000474	8	0	8
OG0000475	7	1	8
OG0000476	5	3	8
OG0000477	7	1	8
OG0000478	4	4	8
OG0000479	6	2	8
OG0000480	4	4	8
OG0000481	3	5	8
OG0000482	6	2	8
OG0000483	1	7	8
OG0000484	6	2	8
OG0000485	2	6	8
OG0000486	5	3	8
OG0000487	6	2	8
OG0000488	2	6	8
OG0000489	7	1	8
OG0000490	6	2	8
OG0000491	7	1	8
OG0000492	7	1	8
OG0000493	2	6	8
OG0000494	7	1	8
OG0000495	4	4	8
OG0000496	1	7	8
OG0000497	5	3	8
OG0000498	6	2	8
OG0000499	1	7	8
OG0000500	2	6	8
OG0000501	7	1	8
OG0000502	8	0	8
OG0000503	1	7	8
OG0000504	2	6	8
OG0000505	5	3	8
OG0000506	4	4	8
OG0000507	5	3	8
OG0000508	2	6	8
OG0000509	1	7	8
OG0000510	4	4	8
OG0000511	6	2	8
OG0000512	5	3	8
OG0000513	7	1	8
OG0000514	1	7	8
OG0000515	1	7	8
OG0000516	3	5	8
OG0000517	2	6	8
OG0000518	1	7	8
OG0000519	1	7	8
OG0000520	2	6	8
OG0000521	2	6	8
OG0000522	6	2	8
OG0000523	1	7	8
OG0000524	7	1	8
OG0000525	3	5	8
OG0000526	3	5	8
OG0000527	4	4	8
OG0000528	1	7	8
OG0000529	1	7	8
OG0000530	4	4	8
OG0000531	1	7	8
OG0000532	1	7	8
OG0000533	1	7	8
OG0000534	2	6	8
OG0000535	2	6	8
OG0000536	0	8	8
OG0000537	0	8	8
OG0000538	0	8	8
OG0000539	0	8	8
OG0000540	0	8	8
OG0000541	6	1	7
OG0000542	3	4	7
OG0000543	4	3	7
OG0000544	6	1	7
OG0000545	6	1	7
OG0000546	6	1	7
OG0000547	6	1	7
OG0000548	3	4	7
OG0000549	1	6	7
OG0000550	6	1	7
OG0000551	2	5	7
OG0000552	4	3	7
OG0000553	1	6	7
OG0000554	4	3	7
OG0000555	5	2	7
OG0000556	3	4	7
OG0000557	6	1	7
OG0000558	2	5	7
OG0000559	2	5	7
OG0000560	2	5	7
OG0000561	6	1	7
OG0000562	1	6	7
OG0000563	1	6	7
OG0000564	4	3	7
OG0000565	7	0	7
OG0000566	1	6	7
OG0000567	5	2	7
OG0000568	2	5	7
OG0000569	5	2	7
OG0000570	1	6	7
OG0000571	2	5	7
OG0000572	5	2	7
OG0000573	6	1	7
OG0000574	6	1	7
OG0000575	6	1	7
OG0000576	5	2	7
OG0000577	2	5	7
OG0000578	4	3	7
OG0000579	5	2	7
OG0000580	6	1	7
OG0000581	6	1	7
OG0000582	4	3	7
OG0000583	1	6	7
OG0000584	2	5	7
OG0000585	6	1	7
OG0000586	1	6	7
OG0000587	7	0	7
OG0000588	6	1	7
OG0000589	2	5	7
OG0000590	1	6	7
OG0000591	5	2	7
OG0000592	4	3	7
OG0000593	6	1	7
OG0000594	6	1	7
OG0000595	6	1	7
OG0000596	5	2	7
OG0000597	3	4	7
OG0000598	6	1	7
OG0000599	7	0	7
OG0000600	3	4	7
OG0000601	6	1	7
OG0000602	6	1	7
OG0000603	6	1	7
OG0000604	3	4	7
OG0000605	1	6	7
OG0000606	5	2	7
OG0000607	2	5	7
OG0000608	2	5	7
OG0000609	6	1	7
OG0000610	6	1	7
OG0000611	2	5	7
OG0000612	5	2	7
OG0000613	4	3	7
OG0000614	6	1	7
OG0000615	4	3	7
OG0000616	3	4	7
OG0000617	4	3	7
OG0000618	7	0	7
OG0000619	6	1	7
OG0000620	6	1	7
OG0000621	6	1	7
OG0000622	5	2	7
OG0000623	2	5	7
OG0000624	6	1	7
OG0000625	5	2	7
OG0000626	4	3	7
OG0000627	6	1	7
OG0000628	6	1	7
OG0000629	1	6	7
OG0000630	6	1	7
OG0000631	6	1	7
OG0000632	5	2	7
OG0000633	6	1	7
OG0000634	1	6	7
OG0000635	1	6	7
OG0000636	1	6	7
OG0000637	5	2	7
OG0000638	3	4	7
OG0000639	4	3	7
OG0000640	6	1	7
OG0000641	1	6	7
OG0000642	4	3	7
OG0000643	6	1	7
OG0000644	1	6	7
OG0000645	2	5	7
OG0000646	1	6	7
OG0000647	1	6	7
OG0000648	1	6	7
OG0000649	1	6	7
OG0000650	3	4	7
OG0000651	3	4	7
OG0000652	1	6	7
OG0000653	1	6	7
OG0000654	6	1	7
OG0000655	5	2	7
OG0000656	1	6	7
OG0000657	6	1	7
OG0000658	4	3	7
OG0000659	1	6	7
OG0000660	3	4	7
OG0000661	5	2	7
OG0000662	4	3	7
OG0000663	1	6	7
OG0000664	1	6	7
OG0000665	3	4	7
OG0000666	1	6	7
OG0000667	2	5	7
OG0000668	1	6	7
OG0000669	6	1	7
OG0000670	6	1	7
OG0000671	4	3	7
OG0000672	1	6	7
OG0000673	1	6	7
OG0000674	1	6	7
OG0000675	2	5	7
OG0000676	2	5	7
OG0000677	0	7	7
OG0000678	0	7	7
OG0000679	0	7	7
OG0000680	1	5	6
OG0000681	5	1	6
OG0000682	5	1	6
OG0000683	1	5	6
OG0000684	1	5	6
OG0000685	5	1	6
OG0000686	1	5	6
OG0000687	4	2	6
OG0000688	5	1	6
OG0000689	4	2	6
OG0000690	5	1	6
OG0000691	5	1	6
OG0000692	2	4	6
OG0000693	3	3	6
OG0000694	5	1	6
OG0000695	3	3	6
OG0000696	6	0	6
OG0000697	1	5	6
OG0000698	5	1	6
OG0000699	2	4	6
OG0000700	4	2	6
OG0000701	6	0	6
OG0000702	4	2	6
OG0000703	2	4	6
OG0000704	5	1	6
OG0000705	5	1	6
OG0000706	6	0	6
OG0000707	4	2	6
OG0000708	5	1	6
OG0000709	2	4	6
OG0000710	1	5	6
OG0000711	5	1	6
OG0000712	2	4	6
OG0000713	4	2	6
OG0000714	4	2	6
OG0000715	4	2	6
OG0000716	3	3	6
OG0000717	5	1	6
OG0000718	3	3	6
OG0000719	4	2	6
OG0000720	5	1	6
OG0000721	5	1	6
OG0000722	4	2	6
OG0000723	6	0	6
OG0000724	4	2	6
OG0000725	4	2	6
OG0000726	1	5	6
OG0000727	6	0	6
OG0000728	4	2	6
OG0000729	4	2	6
OG0000730	2	4	6
OG0000731	3	3	6
OG0000732	1	5	6
OG0000733	5	1	6
OG0000734	5	1	6
OG0000735	5	1	6
OG0000736	6	0	6
OG0000737	1	5	6
OG0000738	2	4	6
OG0000739	5	1	6
OG0000740	4	2	6
OG0000741	3	3	6
OG0000742	6	0	6
OG0000743	3	3	6
OG0000744	5	1	6
OG0000745	5	1	6
OG0000746	3	3	6
OG0000747	3	3	6
OG0000748	2	4	6
OG0000749	5	1	6
OG0000750	5	1	6
OG0000751	3	3	6
OG0000752	6	0	6
OG0000753	5	1	6
OG0000754	2	4	6
OG0000755	5	1	6
OG0000756	3	3	6
OG0000757	4	2	6
OG0000758	2	4	6
OG0000759	6	0	6
OG0000760	5	1	6
OG0000761	6	0	6
OG0000762	4	2	6
OG0000763	5	1	6
OG0000764	4	2	6
OG0000765	5	1	6
OG0000766	4	2	6
OG0000767	5	1	6
OG0000768	5	1	6
OG0000769	5	1	6
OG0000770	2	4	6
OG0000771	5	1	6
OG0000772	2	4	6
OG0000773	2	4	6
OG0000774	4	2	6
OG0000775	3	3	6
OG0000776	4	2	6
OG0000777	5	1	6
OG0000778	5	1	6
OG0000779	1	5	6
OG0000780	4	2	6
OG0000781	5	1	6
OG0000782	5	1	6
OG0000783	3	3	6
OG0000784	4	2	6
OG0000785	4	2	6
OG0000786	5	1	6
OG0000787	3	3	6
OG0000788	5	1	6
OG0000789	5	1	6
OG0000790	6	0	6
OG0000791	5	1	6
OG0000792	6	0	6
OG0000793	4	2	6
OG0000794	2	4	6
OG0000795	5	1	6
OG0000796	3	3	6
OG0000797	4	2	6
OG0000798	4	2	6
OG0000799	4	2	6
OG0000800	2	4	6
OG0000801	4	2	6
OG0000802	3	3	6
OG0000803	4	2	6
OG0000804	5	1	6
OG0000805	5	1	6
OG0000806	5	1	6
OG0000807	5	1	6
OG0000808	2	4	6
OG0000809	5	1	6
OG0000810	1	5	6
OG0000811	3	3	6
OG0000812	5	1	6
OG0000813	5	1	6
OG0000814	5	1	6
OG0000815	1	5	6
OG0000816	2	4	6
OG0000817	4	2	6
OG0000818	3	3	6
OG0000819	4	2	6
OG0000820	5	1	6
OG0000821	6	0	6
OG0000822	1	5	6
OG0000823	3	3	6
OG0000824	3	3	6
OG0000825	6	0	6
OG0000826	5	1	6
OG0000827	5	1	6
OG0000828	5	1	6
OG0000829	1	5	6
OG0000830	5	1	6
OG0000831	2	4	6
OG0000832	5	1	6
OG0000833	3	3	6
OG0000834	1	5	6
OG0000835	3	3	6
OG0000836	2	4	6
OG0000837	5	1	6
OG0000838	2	4	6
OG0000839	3	3	6
OG0000840	2	4	6
OG0000841	4	2	6
OG0000842	2	4	6
OG0000843	1	5	6
OG0000844	3	3	6
OG0000845	6	0	6
OG0000846	5	1	6
OG0000847	1	5	6
OG0000848	2	4	6
OG0000849	2	4	6
OG0000850	2	4	6
OG0000851	5	1	6
OG0000852	2	4	6
OG0000853	4	2	6
OG0000854	5	1	6
OG0000855	2	4	6
OG0000856	3	3	6
OG0000857	4	2	6
OG0000858	2	4	6
OG0000859	3	3	6
OG0000860	3	3	6
OG0000861	5	1	6
OG0000862	5	1	6
OG0000863	3	3	6
OG0000864	4	2	6
OG0000865	1	5	6
OG0000866	1	5	6
OG0000867	2	4	6
OG0000868	3	3	6
OG0000869	4	2	6
OG0000870	1	5	6
OG0000871	3	3	6
OG0000872	1	5	6
OG0000873	2	4	6
OG0000874	2	4	6
OG0000875	5	1	6
OG0000876	1	5	6
OG0000877	1	5	6
OG0000878	3	3	6
OG0000879	1	5	6
OG0000880	2	4	6
OG0000881	5	1	6
OG0000882	2	4	6
OG0000883	2	4	6
OG0000884	1	5	6
OG0000885	1	5	6
OG0000886	4	2	6
OG0000887	2	4	6
OG0000888	2	4	6
OG0000889	1	5	6
OG0000890	1	5	6
OG0000891	1	5	6
OG0000892	1	5	6
OG0000893	1	5	6
OG0000894	2	4	6
OG0000895	1	5	6
OG0000896	1	5	6
OG0000897	0	6	6
OG0000898	0	6	6
OG0000899	0	6	6
OG0000900	0	6	6
OG0000901	0	6	6
OG0000902	0	6	6
OG0000903	3	2	5
OG0000904	5	0	5
OG0000905	1	4	5
OG0000906	3	2	5
OG0000907	4	1	5
OG0000908	4	1	5
OG0000909	5	0	5
OG0000910	2	3	5
OG0000911	4	1	5
OG0000912	3	2	5
OG0000913	4	1	5
OG0000914	2	3	5
OG0000915	4	1	5
OG0000916	3	2	5
OG0000917	2	3	5
OG0000918	1	4	5
OG0000919	3	2	5
OG0000920	3	2	5
OG0000921	3	2	5
OG0000922	4	1	5
OG0000923	3	2	5
OG0000924	4	1	5
OG0000925	2	3	5
OG0000926	4	1	5
OG0000927	4	1	5
OG0000928	3	2	5
OG0000929	4	1	5
OG0000930	2	3	5
OG0000931	3	2	5
OG0000932	4	1	5
OG0000933	1	4	5
OG0000934	4	1	5
OG0000935	3	2	5
OG0000936	5	0	5
OG0000937	1	4	5
OG0000938	5	0	5
OG0000939	2	3	5
OG0000940	1	4	5
OG0000941	4	1	5
OG0000942	4	1	5
OG0000943	5	0	5
OG0000944	4	1	5
OG0000945	4	1	5
OG0000946	3	2	5
OG0000947	3	2	5
OG0000948	4	1	5
OG0000949	1	4	5
OG0000950	2	3	5
OG0000951	3	2	5
OG0000952	3	2	5
OG0000953	3	2	5
OG0000954	3	2	5
OG0000955	4	1	5
OG0000956	4	1	5
OG0000957	4	1	5
OG0000958	1	4	5
OG0000959	4	1	5
OG0000960	1	4	5
OG0000961	4	1	5
OG0000962	1	4	5
OG0000963	3	2	5
OG0000964	1	4	5
OG0000965	3	2	5
OG0000966	2	3	5
OG0000967	4	1	5
OG0000968	1	4	5
OG0000969	4	1	5
OG0000970	5	0	5
OG0000971	2	3	5
OG0000972	3	2	5
OG0000973	5	0	5
OG0000974	5	0	5
OG0000975	4	1	5
OG0000976	4	1	5
OG0000977	4	1	5
OG0000978	1	4	5
OG0000979	1	4	5
OG0000980	4	1	5
OG0000981	4	1	5
OG0000982	2	3	5
OG0000983	2	3	5
OG0000984	4	1	5
OG0000985	4	1	5
OG0000986	3	2	5
OG0000987	4	1	5
OG0000988	3	2	5
OG0000989	3	2	5
OG0000990	5	0	5
OG0000991	4	1	5
OG0000992	4	1	5
OG0000993	2	3	5
OG0000994	2	3	5
OG0000995	4	1	5
OG0000996	4	1	5
OG0000997	4	1	5
OG0000998	3	2	5
OG0000999	1	4	5
OG0001000	5	0	5
OG0001001	3	2	5
OG0001002	4	1	5
OG0001003	4	1	5
OG0001004	4	1	5
OG0001005	2	3	5
OG0001006	2	3	5
OG0001007	2	3	5
OG0001008	2	3	5
OG0001009	2	3	5
OG0001010	5	0	5
OG0001011	1	4	5
OG0001012	4	1	5
OG0001013	3	2	5
OG0001014	5	0	5
OG0001015	3	2	5
OG0001016	4	1	5
OG0001017	3	2	5
OG0001018	2	3	5
OG0001019	1	4	5
OG0001020	2	3	5
OG0001021	3	2	5
OG0001022	3	2	5
OG0001023	2	3	5
OG0001024	3	2	5
OG0001025	4	1	5
OG0001026	4	1	5
OG0001027	2	3	5
OG0001028	3	2	5
OG0001029	4	1	5
OG0001030	4	1	5
OG0001031	2	3	5
OG0001032	4	1	5
OG0001033	1	4	5
OG0001034	3	2	5
OG0001035	4	1	5
OG0001036	2	3	5
OG0001037	4	1	5
OG0001038	3	2	5
OG0001039	4	1	5
OG0001040	2	3	5
OG0001041	2	3	5
OG0001042	4	1	5
OG0001043	1	4	5
OG0001044	3	2	5
OG0001045	4	1	5
OG0001046	4	1	5
OG0001047	4	1	5
OG0001048	4	1	5
OG0001049	4	1	5
OG0001050	4	1	5
OG0001051	4	1	5
OG0001052	3	2	5
OG0001053	3	2	5
OG0001054	4	1	5
OG0001055	4	1	5
OG0001056	1	4	5
OG0001057	1	4	5
OG0001058	4	1	5
OG0001059	4	1	5
OG0001060	5	0	5
OG0001061	3	2	5
OG0001062	3	2	5
OG0001063	4	1	5
OG0001064	4	1	5
OG0001065	3	2	5
OG0001066	2	3	5
OG0001067	2	3	5
OG0001068	3	2	5
OG0001069	2	3	5
OG0001070	4	1	5
OG0001071	4	1	5
OG0001072	4	1	5
OG0001073	3	2	5
OG0001074	3	2	5
OG0001075	2	3	5
OG0001076	4	1	5
OG0001077	4	1	5
OG0001078	3	2	5
OG0001079	2	3	5
OG0001080	4	1	5
OG0001081	1	4	5
OG0001082	1	4	5
OG0001083	3	2	5
OG0001084	1	4	5
OG0001085	3	2	5
OG0001086	1	4	5
OG0001087	3	2	5
OG0001088	5	0	5
OG0001089	3	2	5
OG0001090	4	1	5
OG0001091	1	4	5
OG0001092	1	4	5
OG0001093	4	1	5
OG0001094	4	1	5
OG0001095	4	1	5
OG0001096	4	1	5
OG0001097	5	0	5
OG0001098	2	3	5
OG0001099	4	1	5
OG0001100	4	1	5
OG0001101	2	3	5
OG0001102	3	2	5
OG0001103	4	1	5
OG0001104	3	2	5
OG0001105	3	2	5
OG0001106	4	1	5
OG0001107	3	2	5
OG0001108	4	1	5
OG0001109	5	0	5
OG0001110	4	1	5
OG0001111	1	4	5
OG0001112	3	2	5
OG0001113	3	2	5
OG0001114	4	1	5
OG0001115	4	1	5
OG0001116	2	3	5
OG0001117	2	3	5
OG0001118	3	2	5
OG0001119	1	4	5
OG0001120	3	2	5
OG0001121	1	4	5
OG0001122	2	3	5
OG0001123	2	3	5
OG0001124	2	3	5
OG0001125	2	3	5
OG0001126	2	3	5
OG0001127	3	2	5
OG0001128	3	2	5
OG0001129	1	4	5
OG0001130	2	3	5
OG0001131	1	4	5
OG0001132	2	3	5
OG0001133	5	0	5
OG0001134	2	3	5
OG0001135	4	1	5
OG0001136	1	4	5
OG0001137	1	4	5
OG0001138	1	4	5
OG0001139	3	2	5
OG0001140	1	4	5
OG0001141	1	4	5
OG0001142	4	1	5
OG0001143	2	3	5
OG0001144	3	2	5
OG0001145	2	3	5
OG0001146	4	1	5
OG0001147	4	1	5
OG0001148	2	3	5
OG0001149	3	2	5
OG0001150	4	1	5
OG0001151	4	1	5
OG0001152	2	3	5
OG0001153	3	2	5
OG0001154	1	4	5
OG0001155	4	1	5
OG0001156	2	3	5
OG0001157	1	4	5
OG0001158	2	3	5
OG0001159	2	3	5
OG0001160	1	4	5
