"","PolyA_1041","PolyA_1471","PolyA_1637","RiboDep_1041","RiboDep_1471","RiboDep_1637"
"g2093",711,507,487,353,220,266
"g2094",312,240,250,402,289,385
"g2111",2,0,3,10,13,8
"g2108",2154,1844,1610,821,576,724
"g2106",140,97,112,305,224,269
"g2134",66,43,36,87,81,94
"g2118",979,479,676,905,850,782
"g2138",0,0,0,3,5,6
"g2142",1730,1468,1524,729,353,536
"g2145",73,70,71,110,95,100
"g2164",0,0,0,56,42,35
"g2162",455,366,464,762,551,664
"g2180",4,6,4,23,18,20
"g2186",22,11,9,39,56,42
"g2174",0,0,0,3,5,7
"g2169",127,149,113,148,223,219
"g2172",140,117,146,257,384,337
"g2204",137,114,96,341,163,323
"g2189",94,117,110,43,33,33
"g2190",594,440,405,212,180,221
"g2229",51,33,50,98,39,83
"g2209",531,248,245,1199,709,786
"g2208",117,46,76,438,356,436
"g2212",12,19,24,46,18,48
"g2246",11,0,4,56,33,26
"g2257",54,81,93,1014,433,1509
"g2260",16,11,12,25,22,19
"g2255",0,0,0,34,8,31
"g2250",292,283,247,319,346,317
"g2265",12,14,0,47,62,90
"g2262",647,692,448,221,198,220
"g2267",421,283,379,147,111,128
"g2280",29,40,11,70,28,72
"g2278",515,122,364,1108,588,973
"g2281",3943,2855,2878,2878,4489,3809
"g2314",4,0,4,20,38,44
"g2300",230,168,164,231,154,187
"g2304",192,176,183,93,71,54
"g2327",35,68,43,115,88,94
"g2325",1411,1048,1114,1378,974,1260
"g2331",62,33,33,102,46,70
"g2336",3,2,0,14,8,5
"g2334",487,615,454,616,546,705
"g2348",8,0,1,67,29,39
"g2339",210,180,155,63,54,66
"g2355",406,372,319,168,147,126
"g2357",522,341,281,614,430,514
"g2358",954,739,699,1267,992,1189
"g2361",58,32,52,102,48,88
"g2366",300,143,228,85,51,87
"g2380",34,26,18,52,35,50
"g2396",0,0,0,56,54,39
"g2395",17,20,22,97,28,45
"g2400",452,324,401,896,626,801
"g2403",31,0,9,103,64,130
"g2406",400,412,444,1463,1078,1587
"g2425",169,141,118,75,42,48
"g2412",0,0,0,25,18,8
"g2408",1298,860,800,1796,2012,1784
"g2410",675,408,388,669,546,597
"g2413",1210,825,708,536,273,350
"g2436",0,0,0,9,7,4
"g2447",37,88,30,103,73,94
"g2458",2528,1830,2408,871,649,980
"g2470",90,74,83,97,100,100
"g2495",3,11,5,17,33,25
"g2496",181,213,69,269,325,213
"g2498",101,66,54,137,98,143
"g2505",96,90,63,203,148,151
"g2502",605,451,394,280,184,184
"g2509",0,0,0,70,44,68
"g2534",0,0,0,11,6,4
"g2549",2109,1195,1496,1434,1845,1816
"g2573",62,89,50,95,109,93
"g2581",399,413,326,204,127,133
"g2601",0,0,0,12,18,12
"g2604",787,822,817,421,253,404
"g2594",59,55,65,95,109,88
"g2597",0,0,0,33,27,24
"g2593",3,3,0,22,20,18
"g2595",183,103,128,67,25,52
"g2607",242,126,137,237,201,248
"g2608",877,448,594,665,675,671
"g2620",0,0,0,3,6,6
"g2631",4,4,0,22,33,11
"g2634",22,28,28,76,28,34
"g2630",1657,1370,1497,470,533,684
"g2635",328,232,240,299,194,240
"g2636",209,98,132,206,166,208
"g2640",0,0,0,22,5,14
"g2642",301,211,178,64,61,107
"g2666",193,78,106,189,104,135
"g2701",269,155,216,85,79,81
"g2744",0,0,0,19,8,12
"g2755",0,0,0,22,25,6
"g2750",271,269,220,123,101,97
"g2768",51,47,39,146,67,142
"g2783",20,54,9,100,219,78
"g2785",23,0,7,111,105,186
"g2786",91,120,137,145,178,182
"g2888",43,44,51,258,256,271
"g2895",224,148,141,194,266,224
"g2920",3,0,2,41,17,15
"g2915",387,244,296,319,375,305
"g2917",244,171,177,87,51,62
"g2795",43,23,43,80,55,50
"g2820",0,0,0,7,9,6
"g2821",812,615,664,1026,528,641
"g2825",0,0,0,10,11,3
"g2826",0,0,0,13,14,8
"g2850",963,937,669,1307,741,1053
"g2854",0,0,0,18,7,20
"g2883",0,0,0,22,8,16
"g2818",101,83,70,117,77,107
"g2822",1339,1017,1089,462,316,421
"g2824",797,629,529,1373,642,737
"g2839",92,68,123,166,104,121
"g2844",162,72,74,204,73,128
"g2877",177,146,170,342,198,358
"g2881",70,68,43,84,136,89
"g2930",0,0,0,23,59,9
"g2929",2,0,4,44,29,39
"g2927",39,40,31,72,50,70
"g2936",14,27,27,855,701,826
"g2939",0,11,0,80,127,122
"g2940",0,0,0,186,231,297
"g2941",347,496,378,4441,4006,4598
"g2943",1254,1375,1227,2206,2090,2164
"g2945",0,0,0,44,53,52
"g2948",120,109,119,108,195,170
"g2963",21,26,17,42,27,29
"g2976",1,3,2,8,10,8
"g2991",19,35,32,48,83,35
"g3016",8,0,0,28,19,34
"g3033",56,109,75,131,96,180
"g3018",0,0,0,33,13,25
"g3022",987,661,810,986,622,851
"g3025",122,87,78,202,174,186
"g3026",172,132,148,307,153,254
"g3038",101,117,78,621,269,470
"g3037",316,231,217,516,333,374
"g3046",0,0,0,32,19,31
"g3048",32,8,18,68,58,54
"g3050",242,64,107,353,122,194
"g3064",26,16,17,37,24,27
"g3071",22,0,28,47,105,63
"g3101",123,112,73,130,140,149
"g3106",723,496,365,226,146,171
"g3114",0,0,0,67,56,95
"g3126",0,0,0,14,10,13
"g3120",17,18,21,44,38,47
"g3129",1065,502,657,819,777,753
"g3151",39,11,32,53,83,58
"g3155",370,193,139,103,67,75
"g3163",74,41,38,128,54,89
"g3162",1486,731,1171,638,295,493
"g3174",0,0,0,10,4,6
"g3175",492,482,411,220,160,181
"g3176",0,0,0,220,203,220
"g3178",0,0,0,7,10,13
"g3181",862,647,620,458,167,216
"g3186",676,651,585,408,224,261
"g3195",542,481,427,668,478,647
"g3200",76,35,22,173,114,119
"g3210",17,12,37,70,56,91
"g3212",16,16,30,224,132,251
"g3213",8,0,0,119,27,72
"g3208",74,79,139,226,170,256
"g3217",0,0,11,635,339,636
"g3218",0,6,0,101,53,98
"g3242",163,226,185,372,216,231
"g3241",154,138,115,314,200,226
"g3243",81,119,69,263,186,184
"g3244",522,575,402,2489,1542,1927
"g3245",281,312,152,1339,1033,1164
"g3246",101,52,33,383,175,225
"g3247",53,64,59,576,372,452
"g3238",658,621,502,704,476,640
"g3250",46,41,47,101,113,85
"g3253",465,325,398,176,118,158
"g3261",15,22,15,90,45,84
"g3262",0,0,0,15,15,21
"g3267",0,10,0,72,24,90
"g3266",26,73,97,588,331,678
"g3259",0,0,0,19,16,35
"g3258",168,129,245,345,160,381
"g3260",16,40,68,91,62,133
"g3283",540,239,316,164,91,136
"g3286",644,426,421,631,404,397
"g3288",0,0,0,169,37,48
"g3297",0,0,0,21,14,21
"g3302",1279,973,802,627,296,440
"g3321",612,396,511,1042,1191,1345
"g3327",55,49,42,303,124,157
"g3339",0,15,16,52,75,47
"g3331",4106,1939,2193,1416,698,840
"g3345",0,0,0,13,3,4
"g3350",3157,3044,2809,1505,779,1220
"g3357",96,42,65,166,62,103
"g3355",7,6,4,34,12,22
"g3358",839,682,673,331,225,326
"g3360",1209,975,855,2551,1877,2446
"g3362",227,201,208,283,304,310
"g3368",0,0,0,31,17,35
"g3372",278,134,167,831,386,631
"g3401",1169,768,948,631,323,451
"g3415",88,52,59,96,72,101
"g3421",377,284,208,124,101,115
"g3430",101,27,52,107,64,92
"g3431",0,0,0,22,7,12
"g3432",196,160,159,95,60,59
"g3442",179,97,108,409,248,434
"g3439",98,59,155,1032,900,970
"g3440",162,139,157,478,312,369
"g3443",147,86,115,233,132,176
"g3446",747,889,839,277,272,338
"g3449",894,565,742,348,259,352
"g3457",376,325,344,399,403,408
"g3470",2333,1824,1613,1066,688,839
"g3475",460,535,409,183,198,160
"g3490",0,0,0,46,38,45
"g3493",583,305,306,145,158,105
"g3494",663,455,382,303,128,206
"g3514",40,80,78,175,84,104
"g3521",341,286,222,172,54,98
"g3625",229,157,158,87,47,78
"g3525",168,136,150,228,137,171
"g3527",127,67,73,293,178,233
"g3550",6,11,17,46,32,28
"g3575",362,299,352,175,95,101
"g3576",1718,1107,1161,1768,1610,1879
"g3577",96,60,91,212,143,229
"g3579",767,573,562,400,252,237
"g3526",138,77,73,150,240,220
"g3532",1736,878,1155,647,337,378
"g3536",375,209,242,356,391,421
"g3542",235,124,129,196,151,150
"g3543",52,44,43,73,67,92
"g3553",453,178,279,113,89,94
"g3558",2055,1597,1371,2943,1747,2191
"g3559",139,129,99,590,259,448
"g3563",723,571,419,320,150,188
"g3570",28,44,34,105,39,102
"g3573",23,61,34,144,88,118
"g3578",108,109,122,138,110,156
"g3587",558,554,427,634,1158,870
"g3597",686,746,813,375,230,289
"g3694",98,84,84,49,23,22
"g3698",44,25,20,50,29,68
"g3724",682,525,578,284,131,253
"g3739",0,4,0,121,120,346
"g3740",368,289,587,1752,1482,3572
"g3743",544,296,636,2193,2184,4989
"g3778",1,8,0,27,42,20
"g3792",39,25,19,50,33,40
"g3726",3117,2371,2591,1581,1011,1210
"g3727",232,226,204,110,63,83
"g3798",294,242,172,138,61,73
"g3826",135,110,90,156,117,107
"g3825",92,39,28,153,98,108
"g3839",156,97,83,45,26,44
"g3838",240,161,162,95,46,78
"g3864",29,45,55,46,101,92
"g3862",354,317,334,149,122,143
"g3863",141,84,77,93,119,175
"g3896",32,26,19,37,26,49
"g3901",0,0,0,12,10,9
"g3898",12,10,4,46,39,43
"g3918",4552,3479,3866,1640,1675,1899
"g3930",231,234,239,119,69,106
"g3938",82,93,60,88,102,112
"g3939",7,13,0,39,24,23
"g3929",1966,1856,1591,1166,501,761
"g3942",1097,698,847,404,285,419
"g3961",323,126,124,302,165,244
"g3963",429,261,285,130,103,101
"g3977",157,158,124,191,140,170
"g3987",98,68,96,33,31,27
"g4067",491,488,267,163,144,108
"g4023",0,0,3,5,14,15
"g4030",0,0,0,83,52,53
"g4031",0,0,0,73,59,37
"g4032",0,0,0,83,52,57
"g4121",6,2,8,22,33,12
"g4147",117,78,95,42,28,36
"g4157",154,99,82,252,166,237
"g4158",217,121,147,178,159,167
"g4159",365,387,405,551,306,445
"g4168",141,89,107,49,31,35
"g4200",11,15,26,43,51,46
"g4205",73,45,74,219,196,197
"g4199",159,132,117,76,40,39
"g4209",292,243,257,318,276,247
"g4212",1216,830,689,610,230,302
"g4215",244,164,116,428,140,225
"g4216",925,565,492,2516,1379,1568
"g4223",204,132,101,305,408,300
"g4224",321,259,171,351,356,336
"g4229",317,159,191,115,60,90
"g4238",151,96,80,250,130,165
"g4236",1451,1170,776,1440,1015,955
"g4244",948,644,706,1368,663,904
"g4249",2591,2702,2171,3478,2588,3053
"g4250",200,157,171,76,56,52
"g4254",104,56,72,105,66,88
"g4256",7450,5870,6325,3357,2069,3006
"g4275",0,0,0,24,12,17
"g4279",435,425,347,730,546,577
"g4282",503,250,270,670,633,580
"g4304",194,228,123,421,198,188
"g4305",177,126,91,277,111,134
"g4303",209,204,148,352,247,212
"g4306",99,89,27,372,243,196
"g4322",433,67,190,3226,360,1660
"g4324",1057,228,517,3259,442,1731
"g4325",142,24,85,332,54,188
"g4345",65,26,38,88,45,63
"g4341",148,112,98,1008,1227,1206
"g4344",195,187,123,442,223,267
"g4346",429,239,289,1052,981,934
"g4406",53,45,71,148,82,104
"g4407",287,199,203,97,70,87
"g4413",707,362,417,199,176,201
"g4410",48,32,24,46,43,56
"g4429",1034,556,606,854,513,625
"g4432",0,2,0,8,4,12
"g4433",0,0,0,30,14,28
"g4434",0,0,0,22,9,5
"g4435",0,0,0,11,8,6
"g4438",13079,6542,11525,5279,1707,4029
"g4456",0,0,0,3,7,11
"g4473",529,556,642,1486,996,1374
"g4477",441,245,256,180,110,123
"g4490",202,233,269,286,261,316
"g4488",816,658,530,1298,711,1061
"g4518",63,36,51,88,66,88
"g4512",476,398,345,397,313,423
"g4515",141,62,72,106,114,140
"g4516",310,309,322,177,99,130
"g4517",13,12,14,33,27,50
"g4522",181,84,52,171,145,130
"g4524",400,332,282,429,448,453
"g4525",61,60,66,104,67,97
"g4540",299,344,307,423,430,481
"g4547",938,842,759,491,289,418
"g4553",562,381,397,524,355,476
"g4557",1879,1342,1506,794,688,827
"g4581",205,130,195,238,156,203
"g4577",2407,1768,1803,997,665,801
"g4592",0,0,0,6,10,4
"g4596",359,291,266,142,88,107
"g4610",54,71,75,89,90,98
"g4606",925,957,843,286,322,362
"g4621",259,86,90,430,158,213
"g4615",598,565,553,237,175,221
"g4618",2459,1833,1903,1039,500,655
"g4629",56,0,21,144,171,157
"g4633",222,277,173,812,412,714
"g4638",94,65,65,143,122,166
"g4637",288,324,293,363,381,398
"g4634",1236,795,779,2451,1401,1867
"g4645",25,13,15,71,43,45
"g4650",312,219,189,142,62,63
"g4653",116,78,83,156,145,162
"g4686",390,253,234,322,283,333
"g4684",49,52,51,139,196,152
"g4689",100,83,121,288,306,362
"g4696",201,198,246,95,50,86
"g4703",200,244,217,514,603,524
"g4700",47,30,37,90,35,68
"g4716",316,286,233,310,319,313
"g4730",6,11,7,69,21,40
"g4723",129,143,104,161,108,153
"g4728",745,419,463,204,192,201
"g4755",23,17,3,46,41,51
"g4766",64,10,15,139,78,66
"g4760",350,218,275,278,325,310
"g4761",50,40,47,85,54,54
"g4762",657,487,414,522,369,452
"g4775",234,239,169,483,215,248
"g4793",165,122,103,44,44,39
"g4813",338,286,261,182,113,138
"g4801",3252,2803,3074,2790,3420,3533
"g4802",240,160,147,540,458,512
"g4817",85,59,94,158,149,188
"g4851",71,68,39,166,104,160
"g4854",1240,1073,1168,1397,932,1263
"g4858",164,155,111,238,191,246
"g4864",296,127,248,673,245,459
"g4866",250,206,160,716,376,489
"g4876",0,0,0,9,23,17
"g4869",0,0,0,8,10,6
"g4899",313,205,349,429,343,442
"g4904",43,28,38,105,43,65
"g4908",277,288,235,159,59,87
"g4909",492,296,390,512,573,590
"g4921",74,52,24,93,68,97
"g4922",429,285,250,176,80,126
"g4923",51,67,60,120,71,72
"g4930",348,323,295,519,233,343
"g4931",377,246,248,564,298,445
"g4957",229,262,154,99,78,64
"g4962",79,102,32,142,108,103
"g4974",59,75,61,111,94,75
"g4979",2571,1189,1333,1793,1773,1794
"g4991",63,30,44,132,145,152
"g4998",0,0,0,81,23,64
"g5003",654,297,476,494,531,625
"g5006",1136,945,664,1876,677,950
"g5007",6,29,17,108,53,86
"g5016",113,96,129,575,494,508
"g5027",544,426,391,503,756,594
"g5039",500,319,284,1167,742,1044
"g5041",247,162,161,343,222,289
"g5040",1645,1100,1157,2423,2667,2562
"g5069",2,2,5,25,34,25
"g5073",0,36,19,234,160,220
"g5077",78,86,82,198,183,200
"g5078",91,108,76,213,201,218
"g5076",60,37,41,212,124,177
"g5104",13,46,34,57,68,67
"g5156",0,0,0,4,7,4
"g5196",41,51,46,113,72,114
"g5197",720,488,375,313,131,208
"g5209",602,519,509,254,190,225
"g5217",855,468,466,1325,1576,1543
"g5229",140,200,99,300,382,287
"g5236",894,420,706,321,137,226
"g5244",230,150,179,196,273,257
"g5280",0,0,0,72,74,50
"g5282",807,625,517,266,252,264
"g5301",267,241,167,119,73,102
"g5319",45,23,52,129,123,133
"g5324",48,30,29,112,94,101
"g5325",66,48,40,96,55,78
"g5327",143,122,96,180,265,220
"g5329",177,64,163,199,190,226
"g5332",805,625,497,341,226,269
"g5400",5,0,0,12,16,12
"g5385",9,0,0,11,47,28
"g5389",652,604,544,150,266,170
"g5415",0,0,0,6,7,11
"g5441",92,74,71,110,101,93
"g5446",32083,18492,24994,36587,38633,41463
"g5457",20,30,3,104,81,55
"g5449",0,0,0,27,11,20
"g5451",0,0,0,46,15,31
"g5448",3,0,2,25,7,12
"g5450",84,74,39,169,74,110
"g5454",61,54,17,110,50,95
"g5518",106,83,115,125,146,185
"g5536",182,145,137,232,172,200
"g5602",0,0,0,20,10,19
"g5603",347,178,192,599,343,403
"g5606",973,918,740,1261,538,849
"g5607",0,0,0,43,17,22
"g5608",530,621,327,2156,1501,1653
"g5609",29,48,38,253,162,177
"g5610",14,10,10,50,21,38
"g5640",39,42,39,61,56,81
"g5656",276,360,254,540,662,577
"g5652",48,78,48,198,152,158
"g5664",178,225,140,763,559,669
"g5675",49,27,22,108,31,66
"g5677",83,32,39,73,58,80
"g5673",0,0,0,18,10,13
"g5707",3,4,0,15,9,9
"g5721",4,0,0,6,19,8
"g5726",11,0,10,2489,174,462
"g5725",281,169,275,366,244,306
"g5732",2607,1894,2438,6720,4404,7475
"g5733",0,0,0,83,41,47
"g5734",179,94,126,213,138,158
"g5767",193,126,135,180,179,197
"g5770",0,0,0,17,10,10
"g5811",128,102,123,532,399,463
"g5815",925,854,729,987,694,851
"g5828",111,73,71,137,78,78
"g5824",2049,1520,1779,941,494,618
"g5841",110,30,23,610,288,498
"g5849",91,63,58,117,79,127
"g5842",2762,1320,2096,2859,1662,2313
"g5852",50,78,37,67,115,82
"g5873",228,233,233,372,327,270
"g5885",3,0,0,12,8,10
"g5895",236,142,115,317,215,249
"g5926",188,135,116,377,137,325
"g5934",0,0,0,28,20,43
