Orthogroup	Pocillopora_acuta_protein	Mcap.protein
OG0000011	g49992, g55779, g31901, g10395, g42020, g51162, g23773, g21319, g57975, g35188, g15405, g42709, g21658, g31889, g29137, g55090, g57961, g34361, g31897, g53333, g24316, g30741, g37210	adi2mcaRNA33101_R1
OG0000012	g12694, g64494	adi2mcaRNA35324_R0
OG0000012	g7442, g31688, g11109, g52706, g33292, g62147, g36489, g35572, g29661, g2119, g37304, g4089, g30799, g6603, g14956, g35383, g15385, g8523, g7628, g63102, g2055, g29734, g45520, g64404, g27892, g29682, g30672, g45113	augustus.g67531.t1
OG0000012	g22502	augustus.g22845.t1
OG0000013	g12845	augustus.g55032.t1
OG0000013	g63388	augustus.g61801.t1
OG0000013	g60117	augustus.g3108.t1, augustus.g52074.t1
OG0000014	g56807, g52942, g59577, g43151, g50964, g20312, g59584, g9762, g15067, g9221, g59397, g56863, g50283, g56809, g56535, g28088, g56337, g48450, g48489, g57039, g9751, g52195, g59099, g45980, g52737, g52601, g57036, g9767, g48072	augustus.g14027.t1, augustus.g14946.t1, augustus.g14377.t1, augustus.g61415.t1
OG0000015	g20697, g6203, g28314, g40599	augustus.g40032.t1
OG0000015	g4674	augustus.g56854.t1
OG0000015	g5305, g32977, g58433, g29650, g7922, g56264, g43913, g53107, g40131, g20828, g19183, g28325, g46062, g58405, g47376, g51662	augustus.g54259.t1
OG0000016	g26322, g5675	augustus.g5178.t1
OG0000016	g23571, g53327, g2995, g30356, g61351, g5431, g3534, g23777, g17975, g40546, g48769, g45894, g35224, g55617, g17033, g61679, g9426, g28192, g47457, g35381, g30451, g36820, g47964, g39666, g19522, g17979, g60759, g54718	augustus.g37544.t1
OG0000017	g25933	adi2mcaRNA39478_R0
OG0000017	g4958, g18408, g26509, g10378, g35037, g33243, g4539, g24718, g31137, g53746, g9139, g29362, g15800, g31720, g39988, g60721, g11585, g30747, g61397, g52220, g61029, g47238, g47539, g10243, g19160, g25290, g46047, g63337	augustus.g64077.t1
OG0000018	g29977, g24729, g37784, g58659, g52609, g64277, g30759, g61590, g51386, g47941, g28380, g60803, g60800, g41608, g59236, g63085, g21352, g37217, g49398, g46371, g2467, g8747, g51825, g50270, g25831, g27532, g55715, g27539	augustus.g24809.t1
OG0000019	g44422	augustus.g50921.t1
OG0000019	g44429, g25886, g56506, g32908, g32943, g35904, g16761, g60829, g55035, g4662, g28923, g7358, g21305, g14466, g61613, g11554	augustus.g50410.t1
OG0000019	g12032, g16712, g60605, g34858, g55717, g17363, g51347, g52650, g46451	augustus.g46485.t1
OG0000020	g27365, g56268, g48018, g49823, g57757, g29413, g45525, g29425, g29421, g45527, g50724, g39783, g36699, g29412, g60898, g36701, g10922, g10923, g841, g29424, g2827, g44577, g2826, g2825, g2829, g51236	augustus.g20124.t1, augustus.g38084.t1
OG0000021	g5788, g21814, g7811, g34592, g51660	augustus.g41421.t1
OG0000021	g50642, g12958, g1146, g21663, g29556	augustus.g52631.t1
OG0000021	g26846, g13309	augustus.g25071.t1
OG0000021	g30253, g19028, g23202	adi2mcaRNA3142_R1, augustus.g66737.t1
OG0000022	g12733, g27257, g10446, g23124, g23122, g37746, g41696, g16996, g16975, g16992, g17006, g17008, g17014, g17000, g60985, g16984, g16964, g41211, g16987, g47335, g52437, g47332	augustus.g14039.t1, augustus.g14037.t1, adi2mcaRNA4881_R0, augustus.g14826.t1, adi2mcaRNA36181_R0
OG0000023	g13458	augustus.g9930.t1
OG0000023	g16058, g38188, g15267, g15044	augustus.g15291.t1
OG0000023	g7094, g34266, g6072	augustus.g10445.t1
OG0000023	g17701, g16224, g13585	augustus.g41731.t1
OG0000024	g50345	augustus.g18679.t1, augustus.g50047.t1, augustus.g26692.t1, augustus.g40022.t1, augustus.g8439.t1, augustus.g60536.t1, augustus.g18697.t1, augustus.g17680.t1, augustus.g43154.t1, augustus.g62171.t1, augustus.g68571.t1, augustus.g71088.t1, augustus.g11667.t1, augustus.g66241.t1, augustus.g1168.t1, augustus.g54800.t1, augustus.g49266.t1, augustus.g50912.t1, augustus.g32849.t1, augustus.g39963.t1, augustus.g44433.t1, augustus.g66132.t1, augustus.g26734.t1, augustus.g34313.t1, augustus.g47128.t1, augustus.g53091.t1
OG0000025	g49775, g38053	augustus.g67847.t1
OG0000025	g30828, g45153, g47591, g14940, g19314, g47618, g43301, g32626, g23762, g16749, g32177, g23116, g5304, g7490, g55595, g32176, g32407, g50619, g12222, g40184, g40670	augustus.g7651.t1, augustus.g14556.t1, augustus.g14564.t1
OG0000026	g15052	augustus.g20214.t1
OG0000026	g42733, g62167, g12215, g43097, g41311, g4898	adi2mcaRNA15538_R0
OG0000026	g50683, g48424, g5326	augustus.g6542.t1, augustus.g9989.t1
OG0000026	g43501, g38995, g26769	adi2mcaRNA2910_R0
OG0000027	g19083, g19084, g19082, g46235, g51096	augustus.g391.t1, augustus.g70643.t1, adi2mcaRNA24961_R7, adi2mcaRNA24959_R9, adi2mcaRNA25593_R5, augustus.g70656.t1, augustus.g389.t1, adi2mcaRNA36696_R6, adi2mcaRNA36696_R8, adi2mcaRNA25578_R8, augustus.g69719.t1, augustus.g403.t1, augustus.g70645.t1, adi2mcaRNA25587_R9, augustus.g70644.t1, augustus.g9801.t1, augustus.g400.t1, augustus.g390.t1, augustus.g7474.t1, augustus.g15052.t1, adi2mcaRNA36695_R4
OG0000028	g52500, g40989, g58773, g27109, g53234, g41360, g2967, g63179, g28853, g35373, g64257, g64248, g64252, g52378, g41874, g62662, g21081, g30411, g37546, g50624, g56859, g34358, g53332, g46510	adi2mcaRNA26219_R1, augustus.g69899.t1
OG0000029	g21445, g17418, g50229, g3823, g56842, g54852, g25524, g12389, g58536, g6738, g53665, g35017, g29167, g62784, g57682, g49894, g53499, g46401, g46394, g53154, g62299, g37939, g34454	augustus.g68785.t1, augustus.g1170.t1, augustus.g59606.t1
OG0000030	g44019	augustus.g42281.t1
OG0000030	g3979	augustus.g56501.t1
OG0000030	g56544	adi2mcaRNA11011_R0
OG0000030	g11863	augustus.g7499.t1, augustus.g44710.t1
OG0000030	g6862	augustus.g42837.t1
OG0000031	g17467, g17466	augustus.g23969.t1, augustus.g23984.t1, adi2mcaRNA21342_R8, augustus.g67970.t1, augustus.g39752.t1, augustus.g45786.t1, augustus.g45791.t1, augustus.g45799.t1, augustus.g45790.t1, augustus.g36995.t1, augustus.g4162.t1, augustus.g10169.t1, augustus.g45785.t1, augustus.g70196.t1, augustus.g67963.t1, augustus.g70199.t1, augustus.g67974.t1, augustus.g10171.t1, augustus.g39746.t1, augustus.g67964.t1, adi2mcaRNA13288_R9, augustus.g4168.t1, augustus.g4172.t1
OG0000032	g34582, g34585, g5373, g56033, g51306, g55460, g17153, g17152, g51307, g43974, g44336, g56107, g50661, g28742, g28749, g28747, g28754, g28752, g17597, g50234, g52247, g54351, g36087	adi2mcaRNA9523_R7, adi2mcaRNA9523_R9
OG0000033	g47339, g58209, g8802, g27040, g15876, g12206, g4678, g655, g4111, g19544, g20344, g29473, g32227, g22634, g32122, g1128, g15395, g5937, g40791, g27380, g42402, g28740, g25705, g9031	augustus.g2302.t1
OG0000034	g37968, g52517, g58211, g58212, g55510, g51555, g33118, g50298, g58564, g33133, g53658, g50295, g53555, g58215, g9725, g9716, g20126, g59443, g54332, g33257, g53551, g51561, g58267, g57417	augustus.g28682.t1
OG0000035	g59762, g59763, g59760	augustus.g41901.t1
OG0000035	g15958, g24234, g15965, g15961, g15957, g31938, g31936, g31937, g53241, g54681, g56086, g56079, g25385, g56080, g56085, g56084, g25384, g31963, g56088, g57724	augustus.g68946.t1
OG0000036	g3330, g45950	augustus.g68938.t1
OG0000036	g30372, g31476, g15634, g39888, g56513, g61913, g22689, g49343, g33721, g16318, g1269, g28322, g28429, g31804, g32130, g10683, g55594, g8647, g7326, g15813, g26571	augustus.g47990.t1
OG0000037	g52053	augustus.g64079.t1
OG0000037	g14213	augustus.g55985.t1
OG0000037	g35559, g32103, g45225, g49387, g57324, g38024, g31246, g18878, g21147, g3681, g3028, g30057, g34527, g29079, g23979	augustus.g66243.t1
OG0000038	g18936, g13902, g39712, g13281, g62549, g47764, g62281, g8812, g14675, g14877, g10140, g14398, g19949, g13777, g27760, g40874, g6691, g20889, g46208, g27354, g7297	adi2mcaRNA19545_R7, adi2mcaRNA19545_R8, adi2mcaRNA19545_R6
OG0000039	g54603, g51501, g42685, g14851, g35909, g37415, g51498, g42680, g35910, g37398, g58200, g39736, g46588	augustus.g59025.t1, augustus.g65136.t1, augustus.g24538.t1, augustus.g24596.t1, adi2mcaRNA39662_R8, adi2mcaRNA24375_R1, adi2mcaRNA24375_R2, adi2mcaRNA24375_R0, adi2mcaRNA24375_R7, adi2mcaRNA24375_R4, augustus.g5731.t1
OG0000040	g55388, g860, g8801, g52495, g43832, g49479, g38413, g2802, g947, g11018, g51700, g11775, g38775, g29952, g31494, g19919, g62894, g30895, g27595, g5409, g42002, g27987	augustus.g60246.t1, adi2mcaRNA3284_R1
OG0000041	g48741, g61657, g36402	augustus.g3241.t1, augustus.g833.t1, adi2mcaRNA5729_R0, augustus.g60784.t1, augustus.g71112.t1, augustus.g49307.t1, augustus.g60783.t1, augustus.g71111.t1, adi2mcaRNA5727_R6, augustus.g60786.t1, augustus.g71113.t1, augustus.g3257.t1, augustus.g8556.t1, augustus.g8555.t1, augustus.g13185.t1, augustus.g71109.t1, adi2mcaRNA5731_R9, adi2mcaRNA5731_R5, augustus.g3252.t1, augustus.g71118.t1, augustus.g18820.t1
OG0000042	g23270, g12449, g19852, g47215, g23140, g12920, g17845	augustus.g18865.t1
OG0000042	g20114, g55978, g32913, g20028, g50059, g27467, g37777, g55883, g43774, g40672, g45431, g3006, g38433, g55255, g16837	augustus.g70004.t1
OG0000043	g56909, g35558, g54076, g63489, g53487, g50814, g1121, g61575, g3893, g27781, g23880, g29775, g41083, g45586, g4714, g43385, g34405, g45797, g60065, g30001, g63519, g15318, g21900	augustus.g26466.t1
OG0000044	g20089, g59006, g14759, g23098, g1031	augustus.g50878.t1
OG0000044	g6593, g15166, g20065, g53564, g10314, g63138, g18821, g30063, g57901, g53350, g18977	augustus.g27633.t1
OG0000044	g61004, g20743, g29484	augustus.g69412.t1
OG0000046	g34894	adi2mcaRNA7268_R0
OG0000046	g53345, g7754, g24403, g42339, g16225, g44316, g60907, g14770, g25600, g29570, g3673, g61030, g32852, g41506, g37564, g43543, g59057, g64551, g63158, g46628	augustus.g70716.t1
OG0000047	g8957, g8953, g31345, g49104, g57965, g22449, g53482, g46075, g941, g39540, g24532, g35253, g4059, g48390, g28839, g47859, g53070, g14009, g26365, g25476, g41260, g20516	adi2mcaRNA7540_R0
OG0000049	g56791	augustus.g47093.t1, augustus.g56476.t1, augustus.g4240.t1, augustus.g53980.t1, augustus.g45306.t1, augustus.g59106.t1, augustus.g25913.t1, augustus.g39002.t1, augustus.g16342.t1, augustus.g71240.t1, augustus.g11448.t1, augustus.g66034.t1, augustus.g56477.t1, augustus.g47092.t1, augustus.g14069.t1, augustus.g60812.t1, augustus.g3446.t1, augustus.g71417.t1, augustus.g48224.t1, augustus.g70005.t1, augustus.g4241.t1, augustus.g53979.t1
OG0000050	g29235, g46379, g57856, g45590, g48975, g40445, g49010, g3990, g26004, g3697, g62173, g26616, g24229, g42100, g38393, g3723, g16393, g37100, g13773, g62645, g58937, g20515	augustus.g44554.t1
OG0000051	g30313, g32529	adi2mcaRNA39218_R0, adi2mcaRNA35639_R6, adi2mcaRNA35572_R3, adi2mcaRNA39217_R8, adi2mcaRNA13181_R2, adi2mcaRNA32116_R6, adi2mcaRNA32116_R3, adi2mcaRNA13184_R7, adi2mcaRNA13181_R3, adi2mcaRNA32118_R6, adi2mcaRNA32118_R5, adi2mcaRNA39218_R8, adi2mcaRNA38140_R6, adi2mcaRNA12159_R3, adi2mcaRNA13408_R6, adi2mcaRNA12155_R7, adi2mcaRNA38139_R6, adi2mcaRNA40614_R9, adi2mcaRNA35641_R2, adi2mcaRNA12149_R0
OG0000052	g5278, g8327, g2468, g55438, g63698, g61567, g37590, g4054, g41225, g29815, g27533, g36213, g54034, g63112, g33774, g47252, g30615, g42651, g50764, g56500, g45989	adi2mcaRNA13789_R3
OG0000053	g23337, g56462, g48071, g62426, g60998, g48306, g21039, g52533, g32282, g38245, g51997, g45869, g43064, g53651, g63686, g8075, g40039, g40040, g40041, g36978	adi2mcaRNA31509_R8, adi2mcaRNA31509_R3
OG0000054	g42842, g42849, g49406	augustus.g55963.t1, augustus.g55961.t1, augustus.g53330.t1
OG0000054	g56830, g53139, g13317, g33452, g42777, g53521, g42834, g22210, g51106, g54772, g39849, g22200	augustus.g39241.t1, adi2mcaRNA32097_R1, augustus.g7846.t1, augustus.g53450.t1
OG0000055	g35111, g10560	augustus.g4989.t1, augustus.g4994.t1, augustus.g4981.t1, augustus.g65837.t1, augustus.g4993.t1, augustus.g4992.t1, augustus.g29825.t1, augustus.g63371.t1, augustus.g15393.t1, augustus.g63373.t1, augustus.g19381.t1, augustus.g9247.t1, augustus.g15400.t1, augustus.g9350.t1, augustus.g4991.t1, augustus.g4985.t1, augustus.g65836.t1, adi2mcaRNA906_R0, augustus.g17496.t1, augustus.g4977.t1
OG0000057	g25070, g60825, g48917, g31827, g58459, g16337, g56270, g3254, g26517, g62871, g41298, g30790, g8351, g29330, g48112, g33504, g35809	augustus.g20693.t1
OG0000057	g8005, g47300, g46427	augustus.g12440.t1
OG0000058	g48570, g60198	augustus.g42527.t1, augustus.g1608.t1, augustus.g23195.t1, augustus.g29992.t1, augustus.g15999.t1, augustus.g67204.t1, augustus.g18195.t1, augustus.g18133.t1, augustus.g19562.t1, augustus.g12564.t1, augustus.g18894.t1, augustus.g4491.t1, augustus.g19005.t1, augustus.g16329.t1, augustus.g29429.t1, augustus.g29426.t1, augustus.g5098.t1, augustus.g52956.t1, augustus.g59604.t1, augustus.g25850.t1
OG0000059	g51334, g36601, g63447, g24914, g56162, g25498	augustus.g65319.t1
OG0000059	g54735, g54614, g29150, g35469, g22085, g25176, g1281, g60963, g27903, g16463, g12698, g24772, g36477, g3930	augustus.g43665.t1
OG0000062	g58535, g23688, g54113, g40778, g24613, g37988, g9192, g36236, g25724, g56113, g57388, g4352, g27588, g51877, g47832, g59486, g28081, g56361, g59415	adi2mcaRNA18771_R0, augustus.g14784.t1
OG0000063	g40645, g39443, g38077, g13963, g319	augustus.g46955.t1
OG0000063	g20717, g285, g57337, g49040, g12636, g64451, g8235, g60711, g8350, g6472, g27735, g42060, g3693, g60920	adi2mcaRNA35582_R0
OG0000064	g7742	augustus.g60181.t1, augustus.g60363.t1
OG0000064	g6435, g63131, g38606, g12192, g38449, g16519, g34074, g20450, g18402, g61791, g2089, g64188, g36390, g20518, g26051, g23838	augustus.g40392.t1, augustus.g12930.t1
OG0000065	g52460, g52197, g52944, g52596, g28090, g54429, g48472, g59583, g1, g9753, g28083, g54430, g37526, g20058, g59169, g20313, g55996, g56810, g51023, g52738	augustus.g70134.t1
OG0000066	g22650, g48484, g18980, g3562, g62928, g9117, g40558, g48652, g9390, g10963, g11702, g32809, g22294, g12881, g1675, g64442, g36965, g45949, g36094	adi2mcaRNA1022_R0
OG0000067	g62749	adi2mcaRNA14645_R4, adi2mcaRNA14645_R5, adi2mcaRNA20193_R0, adi2mcaRNA20193_R6, adi2mcaRNA20193_R7, adi2mcaRNA39056_R1, adi2mcaRNA9222_R0, adi2mcaRNA22936_R5, adi2mcaRNA29515_R4, adi2mcaRNA29515_R6, adi2mcaRNA22936_R9, adi2mcaRNA22936_R6, adi2mcaRNA29515_R2, adi2mcaRNA20193_R3, adi2mcaRNA20193_R2, adi2mcaRNA22936_R7, adi2mcaRNA22935_R0, adi2mcaRNA29515_R1, adi2mcaRNA29515_R3
OG0000068	g62307, g62626	augustus.g3801.t1, augustus.g7571.t1, augustus.g65629.t1, augustus.g18810.t1, augustus.g7592.t1, augustus.g7602.t1, augustus.g63014.t1, augustus.g41725.t1, augustus.g28885.t1, augustus.g68278.t1, augustus.g31648.t1, augustus.g4190.t1, augustus.g63015.t1, adi2mcaRNA30313_R1, augustus.g4657.t1, augustus.g10641.t1, augustus.g2375.t1, augustus.g47449.t1
OG0000070	g3205	augustus.g60888.t1
OG0000070	g11858, g58556, g18974, g11889, g2837, g4681, g50667, g5459, g15664, g17604, g55590, g38326, g24570, g32862, g1832, g49984	augustus.g46751.t1, augustus.g17677.t1
OG0000071	g44005, g44003	augustus.g9736.t1, augustus.g9742.t1, augustus.g19356.t1, augustus.g19358.t1, augustus.g9747.t1, augustus.g4910.t1, augustus.g50716.t1, augustus.g9745.t1, augustus.g9744.t1, augustus.g9743.t1, augustus.g19355.t1, augustus.g4911.t1, augustus.g9748.t1, augustus.g4917.t1, augustus.g4916.t1, augustus.g9749.t1, augustus.g9746.t1, augustus.g9737.t1
OG0000072	g45772, g7787, g32259, g10976, g37048, g53325, g26012, g53950, g48228, g6867, g38341, g1585, g17743, g27660, g5548, g16121, g7809, g63716	augustus.g5892.t1, augustus.g2820.t1
OG0000074	g42259	augustus.g21039.t1
OG0000074	g44102, g15638, g17957, g58936, g55347, g45521, g2577, g38161, g39673, g24396, g51956, g34566, g61829, g5528, g9693, g669	adi2mcaRNA17557_R0
OG0000075	g42807	adi2mcaRNA22449_R5, adi2mcaRNA22449_R1, adi2mcaRNA22449_R6, adi2mcaRNA22449_R3, adi2mcaRNA22449_R4, adi2mcaRNA22449_R2, augustus.g44679.t1, adi2mcaRNA22449_R9, augustus.g43952.t1, augustus.g14675.t1, adi2mcaRNA22449_R8, adi2mcaRNA22449_R7, augustus.g64967.t1, adi2mcaRNA27776_R3, adi2mcaRNA27776_R0, adi2mcaRNA27776_R6, adi2mcaRNA27776_R8, adi2mcaRNA27776_R4
OG0000076	g49071, g30216, g61071	augustus.g55470.t1, augustus.g55464.t1, augustus.g5406.t1, augustus.g20614.t1, augustus.g64848.t1, augustus.g183.t1, adi2mcaRNA26978_R4, adi2mcaRNA26978_R8, augustus.g163.t1, augustus.g64844.t1, augustus.g55458.t1, adi2mcaRNA26978_R7, adi2mcaRNA37699_R9, augustus.g64827.t1, adi2mcaRNA26978_R5, adi2mcaRNA26978_R9
OG0000077	g28440, g50011, g48711	augustus.g69352.t1, augustus.g15607.t1, augustus.g59391.t1, augustus.g64520.t1, augustus.g63742.t1, augustus.g54084.t1, augustus.g20675.t1, augustus.g22308.t1, augustus.g22936.t1, augustus.g62214.t1, augustus.g32328.t1, augustus.g17010.t1, augustus.g10270.t1, augustus.g33317.t1, augustus.g6853.t1, augustus.g56417.t1
OG0000078	g37410	augustus.g71008.t1, augustus.g8405.t1, augustus.g69942.t1, augustus.g23391.t1, augustus.g11056.t1, augustus.g66614.t1, augustus.g67823.t1, augustus.g50030.t1, augustus.g50326.t1, augustus.g37712.t1, augustus.g68311.t1, augustus.g29599.t1, augustus.g55589.t1, augustus.g30540.t1, augustus.g53667.t1, augustus.g56213.t1, augustus.g26039.t1, augustus.g57880.t1
OG0000079	g62938, g49403	augustus.g18552.t1, augustus.g67491.t1, augustus.g3275.t1, augustus.g12655.t1, augustus.g4894.t1, augustus.g60082.t1, augustus.g13729.t1, augustus.g47795.t1, augustus.g18585.t1, augustus.g5491.t1, augustus.g11575.t1, augustus.g2292.t1, augustus.g11567.t1, augustus.g40111.t1, augustus.g16884.t1, augustus.g3823.t1, augustus.g19931.t1
OG0000080	g35573, g57054, g684, g55783, g8032, g32723, g10869, g34417, g60494, g8597, g54143, g14359, g51830, g37216, g63565, g12617, g28208	augustus.g13644.t1, augustus.g13643.t1
OG0000081	g45708, g56377, g55602, g15057, g50574, g50939, g32888, g32884, g59605, g25089, g49233, g54881, g48954, g17991	augustus.g30768.t1
OG0000081	g50577, g56376, g50944	augustus.g24086.t1
OG0000082	g54672, g44848, g7068, g62686, g54673	augustus.g5244.t1
OG0000082	g48569, g60197, g61267, g60687, g61268, g44201, g11602, g56814, g32880, g54704, g40927	augustus.g69306.t1, augustus.g71332.t1
OG0000085	g38928, g44453	adi2mcaRNA18098_R5, adi2mcaRNA18098_R1, adi2mcaRNA18098_R2, adi2mcaRNA18098_R3, adi2mcaRNA18098_R7, augustus.g57906.t1, augustus.g36639.t1, augustus.g46092.t1, augustus.g15519.t1, augustus.g16739.t1, augustus.g14240.t1, adi2mcaRNA18098_R9, augustus.g15518.t1, augustus.g16740.t1, augustus.g57907.t1, augustus.g46093.t1
OG0000086	g16502	augustus.g39737.t1, augustus.g8455.t1, adi2mcaRNA22950_R3, adi2mcaRNA9419_R2
OG0000086	g41539, g41531, g41527, g58596, g56953, g41529, g41532, g41528, g41530, g41524, g41534	adi2mcaRNA9434_R5, adi2mcaRNA9427_R4
OG0000087	g20982, g59829, g43138, g44121, g6781, g36513, g20240, g49383, g12534	augustus.g48185.t1
OG0000087	g28394, g24994, g52600, g54304, g32601, g55695, g64305	adi2mcaRNA31456_R0
OG0000088	g34437, g34435, g34471, g34465, g30498, g63054, g11992, g11989, g39391, g11987, g11982, g44807, g11974	augustus.g31971.t1, augustus.g31973.t1, augustus.g31969.t1, adi2mcaRNA4397_R3, augustus.g58457.t1
OG0000089	g47330	adi2mcaRNA6580_R0, augustus.g22482.t1, augustus.g34604.t1, augustus.g21691.t1
OG0000089	g13928, g33894, g54467, g48027, g10763, g62886, g45005, g11028, g31238, g61134, g12124, g25081	augustus.g61598.t1
OG0000090	g4413	augustus.g60712.t1
OG0000090	g30557, g25027, g45466, g55435, g17267, g36871, g44588, g11784, g663, g19373, g29211, g51010, g39457, g30102, g57166	adi2mcaRNA8815_R0
OG0000091	g53680, g11521, g24824, g28703, g57073, g51865, g55522, g165, g19091, g10589, g21369, g55730, g58269	augustus.g10522.t1, augustus.g42324.t1, augustus.g40399.t1, augustus.g68144.t1, augustus.g2897.t1
OG0000092	g9766, g9749, g9758, g52939, g9735, g43147, g59576, g50282, g50963, g20310, g28080, g59398, g15065, g9218	augustus.g69318.t1, augustus.g69311.t1, augustus.g12130.t1, augustus.g17117.t1
OG0000093	g56523, g41489, g3750, g46835, g58151, g37850, g37856, g58780, g23685, g58914, g16013, g3744, g28737, g59086, g46836, g23684	augustus.g13564.t1, augustus.g18343.t1
OG0000095	g3680	augustus.g46960.t1
OG0000095	g18260, g48139, g55406, g11078, g63491, g47250, g29037, g29021, g46134, g33047, g15475, g62072, g34531, g19226, g10962	augustus.g5223.t1
